index,name,state,city,county,enrollment,mmr,overall,xmed,xrel,xper,lat,lng
1400,Calvary Chapel Christian,Washington,Spokane,Spokane,,,,,,,47.6651373,-117.1838877
1401,Can Learn Academy,Washington,Spokane,Spokane,,,,,,,47.73389,-117.4228411
1402,Carl Cozier Elementary,Washington,Bellingham,Whatcom,,,,,,,48.7459268,-122.4615635
1403,Carnation Elementary,Washington,Carnation,King,,,,,,,47.6517826,-121.9112902
1404,Cascade Christian Academy,Washington,Wenatchee,Chelan,,,,,,,47.430904,-120.348393
1405,Cedarbrook Adventist Christian,Washington,Port Hadlock,Jefferson,,,,,,,48.0347112,-122.7929625
1406,Cherry Valley Elementary,Washington,Duvall,King,,,,,,,47.7470945,-121.9824677
1407,Child Development Program Wsu Vancouver,Washington,Vancouver,Clark,,,,,,,45.7315635,-122.6362767
1408,Children's Institute For Learning Differences (Child),Washington,Renton,King,,,,,,,47.4569155,-122.2011036
1409,Choice Alternative,Washington,Shelton,Mason,,,,,,,47.215582,-123.1085336
1410,Christ The King Lutheran,Washington,Bremerton,Kitsap,,,,,,,47.636575,-122.7032779
1411,Christian Heritage,Washington,Edwall,Lincoln,,,,,,,47.5007332,-117.9504238
1412,Chrysalis School (K-8),Washington,Woodinville,King,,,,,,,47.751054,-122.153408
1413,Columbia Elementary,Washington,Bellingham,Whatcom,,,,,,,48.7635752,-122.4925602
1414,Columbia Virtual Academy,Washington,Valley,Stevens,,,,,,,48.1704279,-117.721066
1415,Connell Elem,Washington,Connell,Franklin,,,,,,,46.6635203,-118.8696838
1416,Contract Services/Relife,Washington,Lakewood,Pierce,,,,,,,47.1592535,-122.5199718
1417,Contracted Schools,Washington,Lynnwood,Snohomish,,,,,,,47.813454,-122.326024
1418,Cordata Elementary,Washington,Bellingham,Whatcom,,,,,,,48.8018621,-122.5060688
1419,Cottonwood Elementary,Washington,Yakima,Yakima,,,,,,,46.5866824,-120.634755
1420,Crestview Christian,Washington,Moses Lake,Grant,,,,,,,47.137665,-119.3064911
1421,Decatur Elementary,Washington,Anacortes,Skagit,,,,,,,48.513573,-122.798206
1422,Deep Creek Hutterian,Washington,Reardan,Lincoln,,,,,,,47.691227,-117.728732
1423,Discovery Depot Montessori,Washington,Bremerton,Kitsap,,,,,,,47.6300028,-122.6719064
1424,District Run Home,Washington,Forks,Clallam,,,,,,,47.9465878,-124.3839233
1425,Dixie Elementary,Washington,Dixie,Walla Walla,,,,,,,46.1418328,-118.149775
1426,Dolan Academy & Learning Center,Washington,Woodinville,King,,,,,,,47.7629441,-122.1312601
1427,Dutch Hill Elementary,Washington,Snohomish,Snohomish,,,,,,,47.9215141,-122.0540605
1428,Eagleridge Elementary,Washington,Ferndale,Whatcom,,,,,,,48.8617327,-122.6243228
1429,Eaton Arrowsmith Academy,Washington,Redmond,King,,,,,,,47.6643076,-122.101703
1430,Edison (7/8),Washington,Bow,Skagit,,,,,,,48.5612187,-122.4407986
1431,Evergreen Academy Of Arts & Sciences,Washington,Centralia,Lewis,,,,,,,46.7134119,-122.962911
1432,Evergreen Christian Private,Washington,Federal Way,King,,,,,,,47.3000799,-122.2891963
1433,Faith Lutheran,Washington,Lacey,Thurston,,,,,,,47.0409608,-122.7859202
1434,Family Academy/Academy Nw,Washington,Seattle,King,,,,,,,47.4704542,-122.3591822
1435,Family House Academy,Washington,Kelso,Cowlitz,,,,,,,46.110666,-122.860799
1436,Finley Elementary,Washington,Kennewick,Benton,,,,,,,46.143889,-119.0530761
1437,First Place Scholars,Washington,Seattle,King,,,,,,,47.6033015,-122.3058549
1438,Geneva Elementary,Washington,Bellingham,Whatcom,,,,,,,48.7478512,-122.4021033
1439,Giddens,Washington,Seattle,King,,,,,,,47.5967439,-122.3060356
1440,Grand Ridge Elementary,Washington,Issaquah,King,,,,,,,47.5468628,-122.0046409
1441,Greater Trinity Christian Learning Academy,Washington,Everett,Snohomish,,,,,,,47.895943,-122.238052
1442,Green River Montessori,Washington,Auburn,King,,,,,,,47.3183826,-122.2176884
1443,Greenwood Elementary,Washington,Fort Lewis,Pierce,,,,,,,47.0931578,-122.6024143
1444,Greywolf Elementary,Washington,Sequim,Clallam,,,,,,,48.0814196,-123.1745032
1445,Griffin Bay,Washington,Friday Harbor,San Juan,,,,,,,48.534076,-123.020781
1446,Happy Valley Elementary,Washington,Bellingham,Whatcom,,,,,,,48.7223601,-122.4851723
1447,Harbor Christian Schools,Washington,Gig Harbor,Pierce,,,,,,,47.316871,-122.604708
1448,Harrington Elementary,Washington,Harrington,Lincoln,,,,,,,47.4797066,-118.250648
1449,Harvard Elementary,Washington,Tacoma,Pierce,,,,,,,47.180638,-122.405578
1450,Helen Haller Elementary,Washington,Sequim,Clallam,,,,,,,48.083832,-123.1093549
1451,Holden Village Community,Washington,Chelan,Chelan,,,,,,,48.1998387,-120.7742549
1452,Holy Innocents School Of Nw,Washington,Federal Way,King,,,,,,,47.3356648,-122.3001615
