index,state,year,name,type,city,county,enroll,mmr,overall,xmed,lat,lng
1022,Ohio,2018-19,Mckinley Elementary,Public,Lisbon,Columbiana,72,94.44,93.06,1.39,40.7737774,-80.7598931
1023,Ohio,2018-19,Pandora-Gilboa Elementary,Public,Pandora,Putnam,36,94.44,94.44,5.56,40.954562,-83.9701527
1024,Ohio,2018-19,Robert C Lindsey Elementary,Public,Chesterland,Geauga,54,94.44,90.74,3.7,41.5490714,-81.3641594
1025,Ohio,2018-19,Springfield Preparatory And Fitness Academy,Public,Springfield,Clark,18,94.44,94.44,5.56,39.9045045,-83.7950319
1026,Ohio,2018-19,St Paul,Private,Salem,Columbiana,18,94.44,94.44,5.56,40.9005216,-80.8486769
1027,Ohio,2018-19,Union Elementary,Public,Warsaw,Coshocton,18,94.44,88.89,5.56,40.245803,-82.128203
1028,Ohio,2018-19,Valley Elementary,Public,Beavercreek,Greene,72,94.44,93.06,1.39,39.7178653,-84.0707338
1029,Ohio,2018-19,Volney Rogers,Public,Youngstown,Mahoning,36,94.44,94.44,0,41.0767532,-80.7014116
1030,Ohio,2018-19,Plain City Elementary,Public,Plain City,Madison,107,94.39,94.39,1.87,40.0980494,-83.2639247
1031,Ohio,2018-19,Auburn Elementary,Public,Shelby,Richland,89,94.38,94.38,5.62,40.8838398,-82.67357
1032,Ohio,2018-19,Parkside Elementary,Public,Solon,Cuyahoga,89,94.38,91.01,2.25,41.373395,-81.4369022
1033,Ohio,2018-19,Whittier Elementary,Public,Findlay,Hancock,89,94.38,93.26,3.37,41.0326069,-83.6361715
1034,Ohio,2018-19,Geneva Platt R. Spencer Elementary,Public,Geneva,Ashtabula,71,94.37,92.96,5.63,41.8167164,-80.9356306
1035,Ohio,2018-19,Springfield Elementary,Public,New Middletown,Mahoning,71,94.37,94.37,5.63,40.9528102,-80.5479502
1036,Ohio,2018-19,Garfield Elementary,Public,Wellsville,Columbiana,53,94.34,88.68,5.66,40.599031,-80.6582692
1037,Ohio,2018-19,Valley Forge Elementary,Public,Columbus,Franklin,53,94.34,90.57,3.77,40.0660227,-82.9834782
1038,Ohio,2018-19,Bucyrus Elementary,Public,Bucyrus,Crawford,88,94.32,94.32,3.41,40.804147,-82.97186
1039,Ohio,2018-19,Frank Elementary,Public,Perrysburg,Wood,88,94.32,94.32,2.27,41.543695,-83.627972
1040,Ohio,2018-19,Toth Elementary,Public,Perrysburg,Wood,88,94.32,93.18,3.41,41.5540812,-83.6218477
1041,Ohio,2018-19,Northwood Elementary,Public,Marysville,Union,123,94.31,93.5,3.25,40.2673933,-83.383457
1042,Ohio,2018-19,Darby Creek Elementary,Public,Hilliard,Franklin,70,94.29,88.57,1.43,40.0082551,-83.1780552
1043,Ohio,2018-19,Forest Elementary,Public,North Olmsted,Cuyahoga,105,94.29,92.38,0.95,41.4105432,-81.941755
1044,Ohio,2018-19,Mary Queen Of Peace,Private,Cleveland,Cuyahoga,35,94.29,94.29,2.86,41.435159,-81.7095118
1045,Ohio,2018-19,Payne Elementary,Public,Payne,Paulding,35,94.29,91.43,2.86,41.0775967,-84.7329844
1046,Ohio,2018-19,Royal View Elementary,Public,North Royalton,Cuyahoga,70,94.29,94.29,1.43,41.3186666,-81.7377633
1047,Ohio,2018-19,Van Buren Elementary,Public,Van Buren,Hancock,70,94.29,92.86,0,41.1342114,-83.6473328
1048,Ohio,2018-19,Park Avenue Elementary,Public,Mount Gilead,Morrow,87,94.25,93.1,2.3,40.555012,-82.831091
1049,Ohio,2018-19,Orrville Elementary,Public,Orrville,Wayne,139,94.24,90.65,0.72,40.8511899,-81.7713868
1050,Ohio,2018-19,Buckeye Primary,Public,Medina,Medina,156,94.23,93.59,2.56,41.1876835,-81.9266357
1051,Ohio,2018-19,Holy Trinity,Private,Avon,Lorain,52,94.23,92.31,3.85,41.4516011,-81.9896401
1052,Ohio,2018-19,Oakland Park Alternative Elementary,Public,Columbus,Franklin,52,94.23,94.23,5.77,40.0350656,-82.9827154
1053,Ohio,2018-19,Parkmoor Elementary,Public,Columbus,Franklin,52,94.23,92.31,1.92,40.0737698,-82.9722497
1054,Ohio,2018-19,Normandy Elementary,Public,Bay Village,Cuyahoga,190,94.21,92.11,2.11,41.4837153,-81.9186356
1055,Ohio,2018-19,East Linden Elementary,Public,Columbus,Franklin,51,94.12,92.16,0,40.020086,-82.9480526
1056,Ohio,2018-19,Greenmont Elementary,Public,Kettering,Montgomery,51,94.12,90.2,1.96,39.7201421,-84.1294241
1057,Ohio,2018-19,Hilliard Elementary,Public,Westlake,Cuyahoga,51,94.12,86.27,1.96,41.4616626,-81.8893536
1058,Ohio,2018-19,James J Hilfiker Elementary,Public,Gibsonburg,Sandusky,51,94.12,94.12,3.92,41.3821817,-83.3321045
1059,Ohio,2018-19,Mansion Day School - Excel Preparatory Schools,Private,Columbus,Franklin,17,94.12,94.12,5.88,39.9689825,-82.9562586
1060,Ohio,2018-19,Mother Maria Anna Brunner Catholic,Private,Dayton,Montgomery,17,94.12,94.12,5.88,39.8160799,-84.2730452
1061,Ohio,2018-19,New Miami Elementary,Public,Hamilton,Butler,51,94.12,94.12,3.92,39.4394554,-84.5358038
1062,Ohio,2018-19,Northwestern Elementary,Public,West Salem,Wayne,102,94.12,93.14,3.92,40.8889474,-82.1118521
1063,Ohio,2018-19,Old Trail,Private,Bath,Summit,34,94.12,94.12,5.88,41.1859921,-81.5894904
1064,Ohio,2018-19,St Aloysius,Private,Bowling Green,Wood,34,94.12,94.12,2.94,41.3734105,-83.6465221
1065,Ohio,2018-19,St Mary,Private,Lancaster,Fairfield,17,94.12,94.12,0,39.7126179,-82.597419
1066,Ohio,2018-19,St. Benedict The Moor Catholic,Private,Dayton,Montgomery,17,94.12,94.12,0,39.7557434,-84.2374935
1067,Ohio,2018-19,West Broad Elementary,Public,Columbus,Franklin,68,94.12,91.18,1.47,39.9554538,-83.0734624
1068,Ohio,2018-19,Hamilton Elementary,Public,Columbus,Franklin,203,94.09,90.64,0.99,39.8591134,-82.9873252
1069,Ohio,2018-19,Hollingsworth East Elementary,Public,Eaton,Preble,135,94.07,89.63,5.93,39.7491617,-84.6267371
1070,Ohio,2018-19,Fairfield North Elementary,Public,Hamilton,Butler,101,94.06,92.08,3.96,39.4032427,-84.4935021
1071,Ohio,2018-19,Southeastern Elementary,Public,Chillicothe,Ross,84,94.05,92.86,4.76,39.2819723,-82.8711653
1072,Ohio,2018-19,Withamsville-Tobasco Elementary,Public,Cincinnati,Clermont,84,94.05,94.05,5.95,39.0629654,-84.2872274
1073,Ohio,2018-19,Ralph E. Waite Elementary,Public,Medina,Medina,67,94.03,88.06,0,41.1030206,-81.8588044
1074,Ohio,2018-19,Grace Christian,Private,Blacklick,Franklin,50,94,94,6,39.9863251,-82.7935161
1075,Ohio,2018-19,Putman Elementary,Public,Blanchester,Clinton,100,94,91,4,39.2975248,-83.9867439
1076,Ohio,2018-19,Toledo Christian,Private,Toledo,Lucas,50,94,90,6,41.5999234,-83.6004612
1077,Ohio,2018-19,Blacklick Elementary,Public,Blacklick,Franklin,83,93.98,93.98,4.82,40.0199649,-82.8195811
1078,Ohio,2018-19,Fairwood Elementary,Public,Hamilton,Butler,83,93.98,90.36,3.61,39.3967808,-84.542408
1079,Ohio,2018-19,Green Elementary,Public,Smithville,Wayne,83,93.98,93.98,4.82,40.8622781,-81.8618048
1080,Ohio,2018-19,Rose Hill Elementary,Public,Reynoldsburg,Franklin,83,93.98,93.98,2.41,39.9656798,-82.8161153
1081,Ohio,2018-19,Fort Jennings Elementary,Public,Fort Jennings,Putnam,33,93.94,93.94,3.03,40.9101132,-84.2993789
1082,Ohio,2018-19,Jackson Center Elementary,Public,Jackson Center,Shelby,33,93.94,93.94,3.03,40.437766,-84.0383469
1083,Ohio,2018-19,Kenwood Elementary,Public,Springfield,Clark,66,93.94,90.91,6.06,39.9062226,-83.7896798
1084,Ohio,2018-19,Lordstown Elementary,Public,Warren,Trumbull,33,93.94,93.94,0,41.167245,-80.8633227
1085,Ohio,2018-19,Valley Forge Elementary,Public,Huber Heights,Montgomery,66,93.94,92.42,0,39.8588316,-84.1360877
1086,Ohio,2018-19,Valley Vista Elementary,Public,North Royalton,Cuyahoga,66,93.94,92.42,1.52,41.3330341,-81.7143788
1087,Ohio,2018-19,Griffith Thomas Elementary,Public,Dublin,Franklin,115,93.91,91.3,2.61,40.0772346,-83.1189071
1088,Ohio,2018-19,Spring Hill Elementary,Public,Akron,Summit,82,93.9,91.46,1.22,41.0331334,-81.4029806
1089,Ohio,2018-19,Whittier Elementary,Public,Massillon,Stark,82,93.9,92.68,0,40.811323,-81.512365
1090,Ohio,2018-19,Euclid Park Elementary,Public,Cleveland,Cuyahoga,49,93.88,81.63,0,41.5535114,-81.5529091
1091,Ohio,2018-19,Fairfield Local Elementary,Public,Leesburg,Highland,65,93.85,92.31,4.62,39.3276456,-83.543357
1092,Ohio,2018-19,Glandorf Elementary,Public,Ottawa,Putnam,65,93.85,93.85,6.15,41.0423669,-84.0337945
1093,Ohio,2018-19,Utica Elementary,Public,Utica,Licking,65,93.85,92.31,0,40.2370895,-82.4429747
1094,Ohio,2018-19,Valerie Prek-6,Public,Dayton,Montgomery,65,93.85,92.31,3.08,39.8098832,-84.2540877
1095,Ohio,2018-19,Monticello Elementary,Public,Huber Heights,Montgomery,81,93.83,92.59,3.7,39.8528893,-84.1193519
1096,Ohio,2018-19,Woodmore Elementary,Public,Woodville,Sandusky,81,93.83,92.59,6.17,41.4553761,-83.3718108
1097,Ohio,2018-19,Trotwood-Madison Early Learning Center,Public,Trotwood,Montgomery,129,93.8,87.6,4.65,39.8095466,-84.3101828
1098,Ohio,2018-19,Claymont Primary,Public,Uhrichsville,Tuscarawas,144,93.75,93.06,6.25,40.3884,-81.349555
1099,Ohio,2018-19,Cornerstone Community,Private,Tallmadge,Summit,16,93.75,93.75,0,41.1080292,-81.4439921
1100,Ohio,2018-19,East Knox Elementary,Public,Howard,Knox,64,93.75,93.75,3.13,40.4101852,-82.3319529
1101,Ohio,2018-19,Genoa Elementary,Public,Genoa,Ottawa,96,93.75,91.67,5.21,41.5552723,-83.3623529
1102,Ohio,2018-19,Holy Family,Private,Stow,Summit,32,93.75,93.75,6.25,41.158042,-81.445831
1103,Ohio,2018-19,Imagine Hill Avenue,Public,Toledo,Lucas,32,93.75,93.75,0,41.6374835,-83.6887122
1104,Ohio,2018-19,Katherine Thomas Elementary,Public,Windham,Portage,32,93.75,93.75,3.13,41.239244,-81.0405059
1105,Ohio,2018-19,Lexington Elementary,Public,Alliance,Stark,48,93.75,91.67,6.25,40.9498133,-81.1462157
1106,Ohio,2018-19,Madisonville Smart Elementary,Public,Cincinnati,Hamilton,16,93.75,93.75,0,39.152517,-84.38813
