index,state,year,name,county,enroll,mmr,xmed,lat,lng
535,Montana,2017-18,Pine Grove,Garfield,,,,47.531076,-107.535645
536,Montana,2017-18,Pinehaven Christian,Lake,,,,47.3187782,-114.0917324
537,Montana,2017-18,Pleasant Valley,Flathead,,,,48.149648,-114.956742
538,Montana,2017-18,Polaris,Beaverhead,,,,45.338588,-113.12008
539,Montana,2017-18,Prairie Elk Colony,McCone,,,,48.016131,-105.795819
540,Montana,2017-18,Providence Home,Flathead,,,,48.205882,-114.3203979
541,Montana,2017-18,Rimrock Colony,Liberty,,,,48.521744,-110.9808001
542,Montana,2017-18,Riverview,Custer,,,,46.243875,-105.272673
543,Montana,2017-18,Rockport Colony,Teton,,,,48.5071573,-111.8552899
544,Montana,2017-18,Ross,Garfield,,,,47.1819,-107.923348
545,Montana,2017-18,S H,Custer,,,,45.955414,-106.087684
546,Montana,2017-18,S Y,Custer,,,,45.960531,-105.63412
547,Montana,2017-18,Sage Creek Elementary,Liberty,,,,48.929442,-110.972385
548,Montana,2017-18,Salmon Prairie,Lake,,,,47.630843,-113.785274
549,Montana,2017-18,Sand Springs,Garfield,,,,47.100834,-107.487471
550,Montana,2017-18,Spring Creek Colony,Fergus,,,,48.064323,-114.0773182
551,Montana,2017-18,Spring Creek,Big Horn,,,,45.107515,-106.808869
552,Montana,2017-18,Springdale Colony,Meagher,,,,47.0015869,-114.4734549
553,Montana,2017-18,Springhill,Gallatin,,,,45.839105,-111.035214
554,Montana,2017-18,Straight Arrow,Glacier,,,,46.2935954,-108.9363822
555,Montana,2017-18,Summit Academy K-12,Park,,,,48.3963868,-108.2492996
556,Montana,2017-18,Sunset,Missoula,,,,46.916353,-113.42842
557,Montana,2017-18,Target Range School Prek,Missoula,,,,46.8582045,-114.0410342
558,Montana,2017-18,Townsend Head Start,Broadwater,,,,45.2957286,-108.9185772
559,Montana,2017-18,Trego,Lincoln,,,,48.702981,-114.876819
560,Montana,2017-18,Trinity,Lewis and Clark,,,,46.805306,-112.245279
561,Montana,2017-18,Valley Adventist,Flathead,,,,48.239842,-114.4171673
562,Montana,2017-18,Valley View Sda,Dawson,,,,46.3990941,-112.7383721
563,Montana,2017-18,Wisdom,Beaverhead,,,,45.614619,-113.448532
564,Montana,2017-18,Wise River,Beaverhead,,,,45.788461,-112.951313
565,Montana,2017-18,Wolf Creek,Lewis and Clark,,,,47.007578,-112.07315
566,Montana,2017-18,Yaak,Lincoln,,,,48.838351,-115.696977
567,Montana,2017-18,Zenith Elementary,Glacier,,,,48.870534,-112.342695
