index,state,year,name,type,city,county,mmr,xmed,xrel,lat,lng
507,Connecticut,2017-18,Laurel Ledge,Public,Beacon Falls,New Haven,91.84,0.00,0.00,41.447243,-73.060311
508,Connecticut,2017-18,Nathan Hale,Public,New Haven,New Haven,91.84,0.00,0.00,41.269784,-72.897434
509,Connecticut,2017-18,Mary L. Tracy,Public,Orange,New Haven,91.72,0.69,6.90,41.280249,-73.025988
510,Connecticut,2017-18,Live Oaks,Public,Milford,New Haven,91.67,0.00,8.33,41.23796,-72.994863
511,Connecticut,2017-18,Pembroke,Public,Danbury,Fairfield,91.67,4.17,4.17,41.435913,-73.47491
512,Connecticut,2017-18,Sherman,Public,Fairfield,Fairfield,91.53,3.39,5.08,41.140183,-73.245991
513,Connecticut,2017-18,Saint Mary School-Milford,Nonpublic,Milford,New Haven,91.43,0.00,8.57,41.2260911,-73.0475753
514,Connecticut,2017-18,Samuel Staples Elementary,Public,Easton,Fairfield,91.21,2.20,5.49,41.241151,-73.290281
515,Connecticut,2017-18,Discovery Academy,Public,Wethersfield,Hartford,91.18,0.00,4.41,41.71936,-72.675201
516,Connecticut,2017-18,Killingly Central,Public,Killingly,Windham,90.67,2.59,6.22,41.849206,-71.88408
517,Connecticut,2017-18,Ridgebury Elementary,Public,Ridgefield,Fairfield,90.38,1.92,7.69,41.339034,-73.512718
518,Connecticut,2017-18,Long Hill,Public,Shelton,Fairfield,90.28,1.39,0.00,41.283635,-73.100008
519,Connecticut,2017-18,Ashford,Public,Ashford,Windham,90.00,2.50,5.00,41.892413,-72.168952
520,Connecticut,2017-18,West Rock Authors Academy,Public,New Haven,New Haven,89.58,0.00,0.00,41.33259,-72.967941
521,Connecticut,2017-18,Bi-Cultural Day,Nonpublic,Stamford,Fairfield,88.89,0.00,2.78,41.1441624,-73.5491035
522,Connecticut,2017-18,Canterbury Elementary,Public,Canterbury,Windham,88.68,0.00,11.32,41.703252,-71.98373
523,Connecticut,2017-18,West Stafford,Public,Stafford,Tolland,88.68,0.00,11.32,41.9695063,-72.3464941
524,Connecticut,2017-18,Museum Academy,Public,Bloomfield,Hartford,88.52,3.28,6.56,41.823685,-72.733541
525,Connecticut,2017-18,Catherine Kolnaski Magnet,Public,Groton,New London,88.16,0.00,2.63,41.34679,-72.060461
526,Connecticut,2017-18,Glenville,Public,Greenwich,Fairfield,88.16,9.21,2.63,41.040615,-73.662224
527,Connecticut,2017-18,Calf Pen Meadow,Public,Milford,New Haven,88.00,2.00,10.00,41.213297,-73.028027
528,Connecticut,2017-18,Kathleen H. Ryerson Elementary,Public,Madison,New Haven,87.50,0.00,12.50,41.340403,-72.625794
529,Connecticut,2017-18,Jumoke Academy,Public,Hartford,Hartford,87.32,0.00,4.23,41.77005,-72.692211
530,Connecticut,2017-18,Dorothy C. Goodwin,Public,Mansfield,Tolland,87.10,0.00,6.45,41.818487,-72.283587
531,Connecticut,2017-18,Redding Elementary,Public,Redding,Fairfield,86.52,0.00,12.36,41.182738,-73.30326
532,Connecticut,2017-18,Walsh,Public,Waterbury,New Haven,86.44,0.00,0.00,41.558114,-73.030472
533,Connecticut,2017-18,New Canaan Country,Nonpublic,New Canaan,Fairfield,86.36,0.00,6.82,41.131865,-73.521944
534,Connecticut,2017-18,Montessori Magnet At Fisher,Public,Hartford,Hartford,85.71,0.00,9.52,41.79158,-72.707841
535,Connecticut,2017-18,Burr,Public,Hartford,Hartford,85.42,0.00,0.00,41.744978,-72.672607
536,Connecticut,2017-18,Six-Six Magnet,Public,Bridgeport,Fairfield,85.00,0.00,15.00,41.204659,-73.162398
537,Connecticut,2017-18,Dunbar,Public,Bridgeport,Fairfield,84.44,0.00,0.00,41.1779233,-73.1645691
538,Connecticut,2017-18,Eli Terry,Public,South Windsor,Hartford,84.38,3.13,6.25,41.864616,-72.551754
539,Connecticut,2017-18,Benjamin Jepson Magnet,Public,New Haven,New Haven,84.31,0.00,0.00,41.29932,-72.886881
540,Connecticut,2017-18,Black Rock,Public,Bridgeport,Fairfield,84.09,0.00,2.27,41.156476,-73.225942
541,Connecticut,2017-18,Rawson,Public,Hartford,Hartford,83.72,0.00,4.65,41.796064,-72.700607
542,Connecticut,2017-18,Wintonbury Early Childhood Magnet,Public,Bloomfield,Hartford,83.67,0.00,4.08,41.838223,-72.746007
543,Connecticut,2017-18,Amistad Academy,Public,New Haven,New Haven,82.29,0.00,0.00,41.311152,-72.937407
544,Connecticut,2017-18,Integrated Day Charter,Public,Norwich,New London,81.82,0.00,12.12,41.511328,-72.077647
545,Connecticut,2017-18,Glastonbury East Hartford Magnet,Public,Glastonbury,Hartford,81.16,2.90,14.49,41.708834,-72.594415
