index,state,year,name,type,county,district,enroll,mmr,overall,xmed,xper,xrel,lat,lng
1250,Colorado,2017-18,Penrose Elementary,Kindergarten,El Paso,Cherry Creek 5,71,78.87,76.06,0,2.82,0,38.878525,-104.746845
1251,Colorado,2017-18,Faith Christian Academy,Kindergarten,Jefferson,Adams 12 Five Star Schools,47,78.72,74.47,0,4.26,0,39.8131481,-105.1342791
1252,Colorado,2017-18,Waverly Facility School Turning Point,Private,Larimer,Jefferson County R-1,14,78.57,78.57,0,0,0,40.5654698,-105.0765842
1253,Colorado,2017-18,Samuels Elementary,Kindergarten,Denver,Littleton 6,79,78.48,78.48,0,0,0,39.642675,-104.89177
1254,Colorado,2017-18,Alicia Sanchez International,Kindergarten,Boulder,Fountain 8,72,77.78,72.22,0,5.56,0,39.989275,-105.084108
1255,Colorado,2017-18,Turman Elementary,Kindergarten,El Paso,Adams 12 Five Star Schools,54,77.78,77.78,0,0,0,38.785433,-104.750599
1256,Colorado,2017-18,Legacy Academy,Kindergarten,Elbert,Johnstown-milliken RE-5J,53,77.36,73.58,0,3.77,0,39.359473,-104.628453
1257,Colorado,2017-18,Benjamin Franklin Elementary,Kindergarten,Pueblo,Denver County 1,66,77.27,77.27,0,0,0,38.290497,-104.58734
1258,Colorado,2017-18,Prospect Ridge Academy,Kindergarten,Adams,Boulder Valley RE 2,88,77.27,71.59,0,5.68,0,39.9943091,-105.0176361
1259,Colorado,2017-18,Thunder Mountain Elementary,Kindergarten,Mesa,Charter School Institute,69,76.81,76.81,0,0,0,39.098244,-108.48408
1260,Colorado,2017-18,Ryan Elementary,Kindergarten,Boulder,Adams 12 Five Star Schools,77,76.62,75.32,0,1.3,0,39.980874,-105.110242
1261,Colorado,2017-18,Collegiate Academy Of Colorado,Kindergarten,Jefferson,Jefferson County R-1,47,76.6,68.09,0,6.38,2.13,39.566834,-105.113354
1262,Colorado,2017-18,Foothills Elementary,Kindergarten,Jefferson,Park County RE-2,47,76.6,74.47,0,2.13,0,39.703074,-105.146616
1263,Colorado,2017-18,Soar At Green Valley Ranch,Kindergarten,Denver,Silverton 1,72,76.39,76.39,0,0,0,39.785129,-104.778432
1264,Colorado,2017-18,Sunrise Elementary,Kindergarten,El Paso,Adams 12 Five Star Schools,117,76.07,75.21,0,0.85,0,38.728964,-104.686185
1265,Colorado,2017-18,Freedom Elementary,Kindergarten,El Paso,Moffat 2,83,75.9,75.9,0,0,0,38.935441,-104.732023
1266,Colorado,2017-18,Crested Butte Elementary,Kindergarten,Gunnison,Poudre R-1,62,75.81,67.74,0,8.06,0,38.865104,-106.975755
1267,Colorado,2017-18,Augustine Classical Academy,Kindergarten,Jefferson,Littleton 6,12,75,66.67,0,8.33,0,39.70761,-105.108878
1268,Colorado,2017-18,Indian Peaks Charter,Kindergarten,Grand,Arapahoe County,8,75,37.5,0,37.5,0,40.090594,-105.942963
1269,Colorado,2017-18,Martin Luther King Jr Elementary,Kindergarten,El Paso,Boulder Valley RE 2,124,75,73.39,0,0,1.61,38.734685,-104.699323
1270,Colorado,2017-18,Options,Kindergarten,Adams,Colorado Springs 11,44,75,45.45,0,27.27,2.27,39.748328,-104.854662
1271,Colorado,2017-18,Park View Elementary,Kindergarten,Pueblo,Otis R-3,67,74.63,71.64,0,2.99,0,38.276064,-104.587458
1272,Colorado,2017-18,Mountain View Elementary,Kindergarten,Boulder,Poudre R-1,58,74.14,68.97,0,5.17,0,40.183069,-105.115556
1273,Colorado,2017-18,Fremont Elementary,Kindergarten,El Paso,Boulder Valley RE 2,61,73.77,73.77,0,0,0,38.906921,-104.770847
1274,Colorado,2017-18,Beulah Heights Elementary,Kindergarten,Pueblo,Poudre R-1,38,73.68,73.68,0,0,0,38.222742,-104.648827
1275,Colorado,2017-18,Lake George Charter,Kindergarten,Park,Clear Creek RE-1,19,73.68,47.37,0,26.32,0,38.973878,-105.354048
1276,Colorado,2017-18,Oakland Elementary,Kindergarten,Denver,Harrison 2,38,73.68,73.68,0,0,0,39.778283,-104.818845
1277,Colorado,2017-18,Scott Elementary,Kindergarten,El Paso,Douglas County RE 1,95,73.68,73.68,0,0,0,38.922844,-104.735126
1278,Colorado,2017-18,Two Rivers Community,Kindergarten,Garfield,Adams 12 Five Star Schools,38,73.68,71.05,0,2.63,0,39.565278,-107.366886
1279,Colorado,2017-18,Grant Elementary,Kindergarten,El Paso,Poudre R-1,72,73.61,63.89,0,8.33,1.39,38.895991,-104.76748
1280,Colorado,2017-18,Twin Peaks Charter Academy,Kindergarten,Boulder,Cherry Creek 5,56,73.21,67.86,0,5.36,0,40.15467,-105.118601
1281,Colorado,2017-18,Highland Park Elementary,Kindergarten,Pueblo,Adams County 14,82,73.17,73.17,0,0,0,38.220801,-104.661107
1282,Colorado,2017-18,High Plains Elementary,Kindergarten,El Paso,Jefferson County R-1,48,72.92,68.75,0,2.08,0,38.947094,-104.783662
1283,Colorado,2017-18,Eva R Baca Elementary,Kindergarten,Pueblo,Garfield RE-2,33,72.73,72.73,0,0,0,38.28348,-104.560243
1284,Colorado,2017-18,Firstart Christian Academy,Kindergarten,Adams,Jefferson County,11,72.73,72.73,0,0,0,39.9768466,-104.8126703
1285,Colorado,2017-18,Smith Elementary,Kindergarten,Denver,Cheyenne Mountain 12,44,72.73,72.73,0,0,0,39.7671417,-104.918353
1286,Colorado,2017-18,Gunnison Elementary,Kindergarten,Gunnison,Roaring Fork RE-1,83,72.29,68.67,0,3.61,0,38.55369,-106.937459
1287,Colorado,2017-18,Prairie Hills Elementary,Kindergarten,El Paso,Montrose County RE-1j,60,71.67,70,0,1.67,0,38.949852,-104.733281
1288,Colorado,2017-18,Ricardo Flores Magon Academy,Kindergarten,Adams,Poudre R-1,21,71.43,71.43,0,0,0,39.79321,-105.035231
1289,Colorado,2017-18,Legacy Point Elementary,Kindergarten,Douglas,Elizabeth C-1,55,70.91,69.09,0,1.82,0,39.486121,-104.783392
1290,Colorado,2017-18,Quest Academy At Dacono,Kindergarten,Weld,Colorado Springs 11,24,70.83,70.83,0,0,0,40.0453,-104.963694
1291,Colorado,2017-18,Devinny Elementary,Kindergarten,Jefferson,Cheyenne Mountain 12,65,70.77,70.77,0,0,0,39.685932,-105.139737
1292,Colorado,2017-18,Schmitt Elementary,Kindergarten,Denver,Charter School Institute,34,70.59,70.59,0,0,0,39.68363,-105.012558
1293,Colorado,2017-18,Avery/Parsons Elementary,Kindergarten,Chaffee,Poudre R-1,69,69.57,62.32,0,5.8,1.45,38.844413,-106.126921
1294,Colorado,2017-18,Venetucci Elementary,Kindergarten,El Paso,Jefferson County R-1,88,69.32,67.05,0,2.27,0,38.741411,-104.728016
1295,Colorado,2017-18,Sacred Heart Of Jesus,Kindergarten,Boulder,Denver County 1,13,69.23,69.23,0,0,0,40.02124,-105.278723
1296,Colorado,2017-18,Thunder Valley Pk-8,Kindergarten,Boulder,Pueblo City 60,77,68.83,68.83,0,0,0,40.097607,-104.9322786
1297,Colorado,2017-18,Oak Grove Elementary,Kindergarten,Montrose,Adams 12 Five Star Schools,65,67.69,60,1.54,6.15,0,38.459684,-107.928776
1298,Colorado,2017-18,Webster Elementary,Kindergarten,El Paso,Jefferson County R-1,105,67.62,66.67,0,0.95,0,38.725849,-104.714174
1299,Colorado,2017-18,Stratton Meadows Elementary,Kindergarten,El Paso,Stratton R-4,55,67.27,65.45,0,1.82,0,38.805993,-104.813026
1300,Colorado,2017-18,Academy Calvert K-8 Online,Kindergarten,El Paso,Lake County R-1,6,66.67,66.67,0,0,0,38.9201587,-104.7907929
1301,Colorado,2017-18,Guffey Charter,Kindergarten,Park,Gilpin County RE-1,3,66.67,33.33,0,33.33,0,38.750993,-105.521051
1302,Colorado,2017-18,Crescent View Academy,Kindergarten,Arapahoe,Cotopaxi RE-3,29,65.52,65.52,0,0,0,39.66281,-104.860971
1303,Colorado,2017-18,Cloverleaf Home Education,Kindergarten,Douglas,Academy 20,30,63.33,43.33,0,20,0,39.373083,-104.855755
1304,Colorado,2017-18,Mesa Elementary,Kindergarten,El Paso,Adams 12 Five Star Schools,95,60,60,0,0,0,38.703651,-104.700299
1305,Colorado,2017-18,Otis K-12,Kindergarten,Washington,Montrose County RE-1j,15,60,60,0,0,0,40.153895,-102.967962
1306,Colorado,2017-18,Frontier Elementary,Kindergarten,El Paso,Academy 20,62,59.68,58.06,0,1.61,0,38.946833,-104.755905
1307,Colorado,2017-18,Imagine Charter,Kindergarten,Boulder,Denver County 1,69,57.97,50.72,0,7.25,0,40.1628507,-104.94672
1308,Colorado,2017-18,Emerald Elementary,Kindergarten,Boulder,Adams County 14,64,57.81,53.13,0,4.69,0,39.9208733,-105.0773552
1309,Colorado,2017-18,Edith Wolford Elementary,Kindergarten,El Paso,Adams 12 Five Star Schools,47,57.45,55.32,0,2.13,0,39.030349,-104.701674
