index,state,year,name,type,city,county,mmr,xmed,lat,lng
135,Massachusetts,2018-19,Hunnewell,Public,Wellesley,Norfolk,100,0,42.3008152,-71.2420928
136,Massachusetts,2018-19,Hurld-Wyman,Public,Woburn,Middlesex,100,0,42.4845376,-71.1671779
137,Massachusetts,2018-19,Hyannis West Elementary,Public,Hyannis,Barnstable,100,0,41.6498239,-70.316413
138,Massachusetts,2018-19,International School Of Boston,Private,Arlington,Middlesex,100,0,42.4123837,-71.158827
139,Massachusetts,2018-19,Israel Loring,Public,Sudbury,Middlesex,100,0,42.3497396,-71.4074985
140,Massachusetts,2018-19,J F Kennedy Elementary,Public,Randolph,Norfolk,100,0,42.1661469,-71.0342938
141,Massachusetts,2018-19,J F Kennedy Memorial,Public,Franklin,Norfolk,100,0,42.1082174,-71.4273389
142,Massachusetts,2018-19,J G Pyne Arts Magnet,Public,Lowell,Middlesex,100,0,42.6271957,-71.2886939
143,Massachusetts,2018-19,J Turner Hood,Public,North Reading,Middlesex,100,0,42.5953976,-71.0889753
144,Massachusetts,2018-19,J.F. Kennedy,Public,Jamaica Plain,Suffolk,100,0,42.3216472,-71.1056731
145,Massachusetts,2018-19,Jacob Hiatt Magnet,Public,Worcester,Worcester,100,0,42.2570501,-71.810564
146,Massachusetts,2018-19,Jacobs Elementary,Public,New Bedford,Bristol,100,0,41.6453018,-70.9470754
147,Massachusetts,2018-19,James Fitzgerald Elementary,Public,Waltham,Middlesex,100,0,42.3805924,-71.209654
148,Massachusetts,2018-19,John A Bishop Elementary,Public,Arlington,Middlesex,100,0,42.424351,-71.1548
149,Massachusetts,2018-19,John Avery Parker,Public,New Bedford,Bristol,100,0,41.6444422,-70.9321001
150,Massachusetts,2018-19,John D Runkle,Public,Brookline,Norfolk,100,0,42.3810374,-71.0800593
151,Massachusetts,2018-19,John E Burke Elementary,Public,Peabody,Essex,100,0,42.5622238,-71.0240667
152,Massachusetts,2018-19,John F Kennedy,Public,Canton,Norfolk,100,0,42.1753463,-71.1424843
153,Massachusetts,2018-19,John H Duval,Public,Whitman,Plymouth,100,0,42.0872381,-70.9175467
154,Massachusetts,2018-19,John J Doran,Public,Fall River,Bristol,100,0,41.7001697,-71.1651181
155,Massachusetts,2018-19,John J Stefanik,Public,Chicopee,Hampden,100,0,42.1670478,-72.6156064
