index,state,year,name,type,city,county,enroll,mmr,xmed,xper,xrel,lat,lng
465,Utah,2017-18,Edith Bowen Laboratory School-Logan,Public,Logan,Cache,358,93.85,0,6.15,0,41.7446096,-111.8096409
466,Utah,2017-18,Riverton Elementary,Public,Riverton,Salt Lake,763,93.84,0,6.16,0,40.512258,-111.944385
467,Utah,2017-18,Nibley Park Elementary,Public,Salt Lake City,Salt Lake,356,93.82,0,5.9,0,40.7103085,-111.8667185
468,Utah,2017-18,Fox Hollow Elementary,Public,Lehi,Utah,1115,93.81,0.18,5.47,0,40.4287849,-111.872542
469,Utah,2017-18,Legacy Preparatory Academy,Public,Bountiful,Davis,791,93.81,0.13,6.07,0,40.8676161,-111.9166247
470,Utah,2017-18,Liberty Elementary,Public,Murray,Salt Lake,388,93.81,0.26,3.87,0,40.6390924,-111.8955647
471,Utah,2017-18,Red Mountain Elementary,Public,Ivins,Washington,402,93.78,0.25,5.97,0,37.1655503,-113.6734476
472,Utah,2017-18,Adelaide Elementary,Public,Bountiful,Davis,480,93.75,0,5.42,0,40.8499205,-111.8996473
473,Utah,2017-18,Riverside Elementary,Public,Washington,Washington,604,93.71,0,6.13,0,37.0968328,-113.5190567
474,Utah,2017-18,Tolman Elementary,Public,Bountiful,Davis,397,93.7,0.76,5.54,0,40.9011491,-111.8752241
475,Utah,2017-18,Foothill Elementary-Orem,Public,Orem,Utah,712,93.68,0.28,6.04,0,40.3140127,-111.6672277
476,Utah,2017-18,Washington Elementary-Wash.,Public,Washington,Washington,459,93.68,0,6.32,0,37.135724,-113.5038945
477,Utah,2017-18,Davis Elementary,Public,Vernal,Uintah,504,93.65,0,6.35,0,40.3961127,-109.4796947
478,Utah,2017-18,Hartvigsen School-Special,Public,Taylorsville,Salt Lake,189,93.65,0,6.35,0,40.6571004,-111.9344723
479,Utah,2017-18,Noah Webster Academy,Public,Orem,Utah,563,93.61,0.18,6.04,0,40.2902459,-111.6905412
480,Utah,2017-18,Polk Elementary,Public,Ogden,Weber,313,93.61,0,5.43,0,41.217258,-111.9431689
481,Utah,2017-18,Discovery Elementary,Public,Vernal,Uintah,718,93.59,0,6.27,0,40.4380898,-109.541231
