index,state,year,name,address,city,county,district,enroll,mmr,overall,xmed,xper,xrel,lat,lng
482,North Carolina,2018-19,Lincoln Elementary,,,Rockingham,,67,,100,0,,0,36.467026,-79.649536
483,North Carolina,2018-19,Lincoln Heights Academy,,,Mecklenburg,,0,,100,0,,0,35.216579,-80.811975
484,North Carolina,2018-19,Lindley Park Elementary,,,Randolph,,77,,100,0,,1.3,35.7016541,-79.8070859
485,North Carolina,2018-19,Little River Elementary,,,Durham,,64,,100,0,,0,36.098817,-78.863112
486,North Carolina,2018-19,London Elementary,,,Stokes,,28,,100,0,,0,36.300091,-80.146288
487,North Carolina,2018-19,Long Hill  Christian,,,Montgomery,,4,,100,0,,0,36.4168037,-80.5206154
488,North Carolina,2018-19,Long Mill  Elementary,,,Franklin,,70,,100,0,,0,36.057649,-78.495951
489,North Carolina,2018-19,Lucy Daniels Center,,,Wake,,5,,100,0,,0,35.8286293,-78.7963599
490,North Carolina,2018-19,Mabel Elementary,,,Watauga,,17,,100,0,,0,36.322534,-81.746471
491,North Carolina,2018-19,Madison Elementary,,,Guilford,,26,,100,0,,3.8,36.1460189,-79.6960704
492,North Carolina,2018-19,Male Leadership Acad. of Charlotte,,,Mecklenburg,,3,,100,0,,33.3,35.1675608,-80.891996
493,North Carolina,2018-19,Mallard Creek STEM Academy,,,Mecklenburg,,87,,100,0,,0,35.36674,-80.797061
494,North Carolina,2018-19,Mangum Elementary,,,Durham,,61,,100,0,,1.6,36.169799,-78.876543
495,North Carolina,2018-19,Mariam Boyd Elementary,,,Warren,,34,,100,0,,2.9,36.394951,-78.158327
496,North Carolina,2018-19,Mariposa,,,Wake,,0,,100,0,,0,35.737499,-78.804111
497,North Carolina,2018-19,Marjorie Williams Academy,,,Avery,,10,,100,0,,0,36.024783,-81.928458
498,North Carolina,2018-19,Mars Hill  Elementary,,,Madison,,97,,100,0,,3.1,35.8345131,-82.5516139
499,North Carolina,2018-19,Mattamuskeet Elementary,,,Hyde,,42,,100,0,,0,35.440926,-76.217128
500,North Carolina,2018-19,Maureen Joy Charter,,,Durham,,65,,100,0,,0,35.985225,-78.877477
501,North Carolina,2018-19,Maysville Elementary,,,Jones,,24,,100,0,,4.2,34.904665,-77.236972
502,North Carolina,2018-19,McAdenville Elementary,,,Gaston,,30,,100,0,,0,35.2534236,-81.0772934
503,North Carolina,2018-19,McKee Road Elementary,,,Mecklenburg,,85,,100,0,,2.4,35.068284,-80.754791
504,North Carolina,2018-19,McLeansville Elementary,,,Guilford,,41,,100,0,,0,36.1060545,-79.6610867
505,North Carolina,2018-19,Meadow,,,Johnston,,54,,100,1.9,,0,35.321077,-78.453795
506,North Carolina,2018-19,Mel and Zora Rashkis Elementary,,,Orange,,75,,100,1.3,,0,35.9140981,-79.007933
507,North Carolina,2018-19,Meredith Leigh Haynes - Bennie Lee Inman Education Center,,,Guilford,,4,,100,0,,25,35.9841793,-79.9139355
508,North Carolina,2018-19,Metrolina Christian Academy,,,Union,,64,,100,0,,9.4,35.0851189,-80.6569793
509,North Carolina,2018-19,Metrolina Regional Scholars Academy,,,Mecklenburg,,36,,100,0,,11.1,35.168604,-80.885949
510,North Carolina,2018-19,Micaville Elementary,,,Yancey,,39,,100,0,,0,35.905312,-82.216325
511,North Carolina,2018-19,Middlesex Elementary,,,Nash,,55,,100,0,,0,35.786495,-78.213078
512,North Carolina,2018-19,Midway Elementary,,,Davidson,,71,,100,0,,0,35.952109,-80.214029
513,North Carolina,2018-19,Mill ingport Elementary,,,Stanly,,31,,100,0,,3.2,35.3784516,-80.2989309
514,North Carolina,2018-19,Millennium Charter Academy,,,Surry,,84,,100,0,,4.8,36.516519,-80.597495
515,North Carolina,2018-19,Millers Creek Christian,,,Wilkes,,15,,100,0,,6.7,36.18835,-81.233261
516,North Carolina,2018-19,Mills Park Elementary,,,Wake,,131,,100,0,,0.8,35.810851,-78.896569
517,North Carolina,2018-19,Mills River Seventh-day Adventist,,,Henderson,,5,,100,0,,0,35.399964,-82.5642229
518,North Carolina,2018-19,Mineral Springs Elementary,,,Forsyth,,93,,100,0,,1.1,36.157307,-80.235416
519,North Carolina,2018-19,Mineral Springs Elementary,,,Richmond,,44,,100,0,,0,35.063087,-79.754596
520,North Carolina,2018-19,Mocksville Elementary,,,Davie,,88,,100,0,,0,35.906454,-80.5586977
521,North Carolina,2018-19,Monroe Avenue Elementary,,,Richmond,,59,,100,1.7,,0,34.896926,-79.698546
522,North Carolina,2018-19,Monroeton Elementary,,,Rockingham,,76,,100,0,,0,36.318533,-79.716575
523,North Carolina,2018-19,Montessori at Sandy Ford,,,Catawba,,15,,100,0,,20,35.659699,-81.2871138
524,North Carolina,2018-19,Montessori Community,,,Durham,,24,,100,8.3,,0,35.9337024,-79.0000454
525,North Carolina,2018-19,Montessori Day,,,Orange,,12,,100,0,,0,35.93542,-79.020261
526,North Carolina,2018-19,Montessori Farm,,,Durham,,6,,100,0,,16.7,36.03149,-78.910161
527,North Carolina,2018-19,Montessori School of Raleigh,,,Wake,,32,,100,0,,0,35.87659,-78.663051
528,North Carolina,2018-19,Montessori School of Winston-Salem,,,Forsyth,,16,,100,0,,6.3,36.06537,-80.375091
529,North Carolina,2018-19,Moravian Falls Elementary,,,Wilkes,,44,,100,0,,0,36.097467,-81.180473
530,North Carolina,2018-19,Morehead Elementary,,,Guilford,,88,,100,0,,1.1,36.080456,-79.866621
531,North Carolina,2018-19,Morganton Day,,,Burke,,14,,100,0,,0,35.74048,-81.688351
532,North Carolina,2018-19,Morris Grove Elementary,,,Orange,,85,,100,0,,1.2,35.9664753,-79.1032362
533,North Carolina,2018-19,Morrisville Elementary,,,Wake,,120,,100,0,,0.8,35.811406,-78.846496
534,North Carolina,2018-19,Moss Hill  Elementary,,,Lenoir,,55,,100,0,,0,35.195241,-77.75315
535,North Carolina,2018-19,Mount Calvary Christian Acad.,,,Greene,,12,,100,0,,0,35.4257174,-77.5835824
536,North Carolina,2018-19,Mount Calvary Christian,,,Randolph,,7,,100,0,,14.3,35.90848,-79.930481
537,North Carolina,2018-19,Mount Gilead Elementary,,,Montgomery,,36,,100,0,,0,35.212758,-80.004204
538,North Carolina,2018-19,Mount Olive Elementary,,,Stokes,,53,,100,0,,1.9,36.319402,-80.373032
539,North Carolina,2018-19,Mount Pleasant Elementary,,,Cabarrus,,95,,100,1.1,,4.2,35.417275,-80.431717
540,North Carolina,2018-19,Mount Pleasant Elementary,,,Wilkes,,33,,100,0,,0,36.149087,-81.325633
541,North Carolina,2018-19,Mount Zion Christian Academy,,,Durham,,16,,100,0,,0,35.9563,-78.906401
542,North Carolina,2018-19,Mountain Discovery Charter,,,Swain,,20,,100,0,,15,35.4144917,-83.4526728
543,North Carolina,2018-19,Mountain Island Day,,,Mecklenburg,,47,,100,0,,4.3,35.26123,-80.938601
544,North Carolina,2018-19,Mountain Pathways,,,Watauga,,8,,100,0,,0,36.24158,-81.662761
545,North Carolina,2018-19,Mountain Sun Community,,,Transylvania,,10,,100,0,,40,35.242403,-82.752978
546,North Carolina,2018-19,Mountain View Elementary,,,Ashe,,73,,100,0,,0,36.433826,-81.443155
547,North Carolina,2018-19,Mountain View Elementary,,,Catawba,,90,,100,0,,4.4,35.662621,-81.385349
548,North Carolina,2018-19,Mountain View Elementary,,,Wilkes,,75,,100,0,,0,36.248548,-81.116079
549,North Carolina,2018-19,Mountain View Elementary,,,Burke,,99,,100,0,,0,35.7536296,-81.7014505
550,North Carolina,2018-19,Mulberry Elementary,,,Wilkes,,69,,100,0,,0,36.237173,-81.179811
551,North Carolina,2018-19,Mull Elementary,,,Burke,,43,,100,0,,4.7,35.704807,-81.659601
552,North Carolina,2018-19,Murphy Adventist,,,Cherokee,,0,,100,0,,0,35.0709872,-84.0580487
553,North Carolina,2018-19,Murphy Elementary,,,Cherokee,,57,,100,0,,0,35.089881,-84.030497
554,North Carolina,2018-19,Myrtle Grove Christian,,,New Hanover,,18,,100,0,,5.6,34.13618,-77.887621
555,North Carolina,2018-19,Nancy Reynolds Elementary,,,Stokes,,20,,100,0,,0,36.437476,-80.343953
556,North Carolina,2018-19,Nantahala,,,Macon,,10,,100,0,,0,35.253472,-83.634187
557,North Carolina,2018-19,Nathanael Greene Elementary,,,Guilford,,40,,100,0,,0,35.9459637,-79.6067573
558,North Carolina,2018-19,Naturally Grown,,,Henderson,,4,,100,0,,50,35.38785,-82.585541
559,North Carolina,2018-19,NC Leadership Charter Academy,,,Forsyth,,63,,100,0,,0,36.04657,-80.111269
560,North Carolina,2018-19,NC Virtual Academy,,,Durham,,142,,100,0,,13.4,35.91404,-78.892881
561,North Carolina,2018-19,Neuse Christian Academy,,,Wake,,21,,100,0,,4.8,35.88761,-78.626091
562,North Carolina,2018-19,New Classical Academy,,,Buncombe,,9,,100,0,,0,35.562202,-82.615053
563,North Carolina,2018-19,New Hope Christian Academy,,,Davidson,,2,,100,0,,0,35.88155,-80.105381
564,North Carolina,2018-19,New Hope Elementary,,,Gaston,,76,,100,0,,1.3,35.209822,-81.0831959
565,North Carolina,2018-19,New Independence Academy,,,Wayne,,0,,100,0,,0,35.41162,-78.040131
566,North Carolina,2018-19,New Kituwah Academy,,,Swain,,12,,100,0,,8.3,35.501034,-83.310545
567,North Carolina,2018-19,New Life Christian Academy,,,Cabarrus,,4,,100,0,,0,35.41278,-80.644421
568,North Carolina,2018-19,New Manna Christian,,,McDowell,,13,,100,0,,15.4,35.685902,-82.005298
569,North Carolina,2018-19,New Market Elementary,,,Randolph,,61,,100,0,,3.3,35.8324732,-79.8656272
570,North Carolina,2018-19,New Salem Elementary,,,Union,,43,,100,0,,2.3,35.1294972,-80.3706497
571,North Carolina,2018-19,Newland Elementary,,,Avery,,31,,100,0,,0,36.0817037,-81.9222218
572,North Carolina,2018-19,Newport Christian Academy,,,Carteret,,5,,100,0,,0,34.81008,-76.890491
573,North Carolina,2018-19,Next Generation Academy,,,Guilford,,71,,100,1.4,,2.8,36.03913,-79.816971
