index,state,year,name,city,county,district,enrollment,overall,xmed,xrel,lat,lng
232,Idaho,2018-19,South Fork Elementary School - Rigby,Rigby,Jefferson,Jefferson,130,86.92307692,0.7692307692,10,43.6732533,-111.8855472
233,Idaho,2018-19,Burton Elementary,Rexburg,Madison,Madison,98,86.73469388,0,13.26530612,43.810534,-111.822104
234,Idaho,2018-19,Dalton Gardens Elementary,Coeur D'alene,Kootenai,Coeur d'Alene,45,86.66666667,0,13.33333333,47.7292057,-116.7715252
235,Idaho,2018-19,Garden Valley Elementary,Garden Valley,Boise,Garden Valley,15,86.66666667,0,13.33333333,44.062947,-115.9216392
236,Idaho,2018-19,Tendoy Elementary School - Pocatello,Pocatello,Bannock,Pocatello,45,86.66666667,0,2.222222222,42.8909075,-112.4405415
237,Idaho,2018-19,Vision Charter,Caldwell,Canyon,Charter,45,86.66666667,0,6.666666667,43.6519628,-116.6246027
238,Idaho,2018-19,Lakevue Elementary,Nampa,Canyon,Vallivue,97,86.59793814,0,10.30927835,43.596585,-116.6498325
239,Idaho,2018-19,Edahow Elementary,Pocatello,Bannock,Pocatello,52,86.53846154,0,1.923076923,42.8980525,-112.4248704
240,Idaho,2018-19,Peregrine Elementary,Meridian,Ada,West Ada,89,86.51685393,0,8.988764045,43.598294,-116.4178108
241,Idaho,2018-19,Murtaugh Elementary,Murtaugh,Twin Falls,Murtaugh,37,86.48648649,0,8.108108108,42.4927706,-114.1653064
242,Idaho,2018-19,Roosevelt Elementary School - Nampa,Nampa,Canyon,Nampa,74,86.48648649,0,8.108108108,43.5674094,-116.6041394
243,Idaho,2018-19,Van Buren Elementary,Caldwell,Canyon,Caldwell,103,86.40776699,0,4.854368932,43.6744046,-116.6598843
244,Idaho,2018-19,Richfield,Richfield,Lincoln,Richfield,22,86.36363636,0,9.090909091,43.0527609,-114.1571521
245,Idaho,2018-19,Orofino Elementary,Orofino,Clearwater,Orofino,51,86.2745098,0,9.803921569,46.4839259,-116.2441654
246,Idaho,2018-19,Shadow Butte Elementary,Emmett,Gem,Emmett,94,86.17021277,0,12.76595745,43.8947712,-116.5711634
247,Idaho,2018-19,Jefferson Elementary School - Pocatello,Pocatello,Bannock,Pocatello,65,86.15384615,0,4.615384615,42.8617465,-112.4700372
