index,state,year,name,city,mmr,overall,xmed,xper,xrel,lat,lng
440,Missouri,2018-19,Maple Shade,Windsor,23.1,,,,,38.5292027,-93.5264069
441,Missouri,2018-19,Webster County Parochial Schools,Sey Ur,1,,,,,37.1501551,-92.761725
442,Missouri,2018-19,Academy Of St.Louis,Chesterfield,,,,,,38.643858,-90.613445
443,Missouri,2018-19,Apostolic Christian,Reeds Spring,,,,,,36.810004,-93.299212
444,Missouri,2018-19,Appleseed Christian Academy,Branson,,,,,,36.6221858,-93.2022389
445,Missouri,2018-19,Apprende Private,Valley Park,,,,,,38.556792,-90.492838
446,Missouri,2018-19,Bell Tower Schoolhouse Llc,Marshfield,,,,,,37.3360345,-92.8938799
447,Missouri,2018-19,Bethel Mennonite,Rayville,,,,,,38.887144,-94.522704
448,Missouri,2018-19,Bible Baptist Academy,Nevada,,,,,,37.8634,-94.294631
449,Missouri,2018-19,Cedar Ridge,Barnett,,,,,,38.9244202,-92.2635666
450,Missouri,2018-19,Children's Center For Visually Impaired,Kansas City,,,,,,39.0706979,-94.5851313
451,Missouri,2018-19,Children's House Of Columbia,Columbia,,,,,,38.9400136,-92.3307323
452,Missouri,2018-19,Concordia Lutheran,Sikeston,,,,,,36.8858286,-89.58957
453,Missouri,2018-19,Fairview Mennonite,Fairview,,,,,,36.8221989,-94.114473
454,Missouri,2018-19,Faith Assembly Christian Schl,West Plains,,,,,,36.7189213,-91.8763346
455,Missouri,2018-19,Faith Walk Academy,Paris,,,,,,39.485024,-92.002057
456,Missouri,2018-19,Foristell Baptist Academy,Foristell,,,,,,38.81541,-90.957951
457,Missouri,2018-19,Glad-Tidings Assembly Of God,Kansas City,,,,,,39.018028,-94.55208
458,Missouri,2018-19,Immanuel Lutheran Kindergarten,Boonville,,,,,,38.963067,-92.7332939
459,Missouri,2018-19,Kennett Christian Academy,Kennett,,,,,,36.237103,-90.047115
460,Missouri,2018-19,Kids In Montessori,Jefferson City,,,,,,38.561652,-92.167066
461,Missouri,2018-19,Living Faith Mennonite,Harwood,,,,,,37.9017142,-94.2351485
462,Missouri,2018-19,Logos,St. Louis,,,,,,38.6670837,-90.3662496
463,Missouri,2018-19,Map St. Louis,St. Louis,,,,,,38.6413016,-90.2367186
464,Missouri,2018-19,Maranatha Adventist,Berly,,,,,,39.4071677,-92.4209982
465,Missouri,2018-19,Moog Center For Deaf Education,St. Louis,,,,,,38.6361775,-90.4522235
466,Missouri,2018-19,Moreau Montessori,Jefferson City,,,,,,38.56123,-92.166521
467,Missouri,2018-19,Oak Ridge,Windsor,,,,,,38.0082839,-92.7306765
468,Missouri,2018-19,Ozark Christian Academy,Neosho,,,,,,36.8782851,-94.3786287
469,Missouri,2018-19,Prospect Grove,Arbela,,,,,,40.5497566,-91.9276722
470,Missouri,2018-19,Rivendale Institute Of Learning Inc,Springfield,,,,,,37.184744,-93.31662
471,Missouri,2018-19,Sacred Heart Villa,St.Louis,,,,,,38.6157971,-90.2768305
472,Missouri,2018-19,Schoolhouse Inc.,Independence,,,,,,39.0564152,-94.4027381
473,Missouri,2018-19,Second Mission Bapt Learn Ctr,Grandview,,,,,,38.897293,-94.532558
474,Missouri,2018-19,Sedalia Seventh Day Adventist,Sedalia,,,,,,38.6946122,-93.1427393
475,Missouri,2018-19,Springhill's School Of Hope,Fairdealing,,,,,,36.6732086,-90.6998487
476,Missouri,2018-19,St Gemma Center,Ellisville,,,,,,38.604916,-90.576366
477,Missouri,2018-19,St Marys,Nevada,,,,,,37.8413119,-94.3574791
478,Missouri,2018-19,Summit View Adventist,Lees Summit,,,,,,38.8875736,-94.2631793
479,Missouri,2018-19,Sunnyside,Windsor,,,,,,38.3497448,-93.4360401
480,Missouri,2018-19,The Refuge Academy,High Ridge,,,,,,38.4568915,-90.536
481,Missouri,2018-19,Wesleyan Kiddie Kollege,Warrenton,,,,,,38.8024396,-91.1440648
482,Missouri,2018-19,West Prairie,Windsor,,,,,,39.6697294,-94.0402188
483,Missouri,2018-19,Willow Branch,Barnett,,,,,,38.4937726,-92.6597375
484,Missouri,2018-19,Word Of God Fellowship Academy,Bolivar,,,,,,37.6118828,-93.4208659
