index,state,year,name,type,city,county,enroll,mmr,overal,xmed,xper,xrel,lat,lng
3394,New York,2017-18,Bais Yaakov Elementary School Of Rockland,Private,Monsey,Rockland,,79.6,71,0,,0.3,41.114834,-74.072461
3395,New York,2017-18,Love Of Learning Montessori,Private,Centerport,Suffolk,,79.5,79.5,0,,19.64,40.8979329,-73.3728128
3396,New York,2017-18,Museum 25,Public,Yonkers,Westchester,,79.5,75.8,0,,0.37,40.9563173,-73.8954459
3397,New York,2017-18,Clyde,Private,Lyons,Wayne,,79.4,70.6,0,,17.65,43.060548,-77.029924
3398,New York,2017-18,Finger Lakes Mennonite,Private,Moravia,Cayuga,,79.3,79.3,0,,20.69,42.785858,-76.534499
3399,New York,2017-18,Hudson Valley Christian Academy,Private,Mahopac Falls,Putnam,,79.3,79.3,0,,20.69,41.372574,-73.766417
3400,New York,2017-18,Manhattan Free,Private,New York,New York,,79.3,79.3,3.45,,17.24,40.7280553,-73.9896602
3401,New York,2017-18,Greece Christian,Private,Rochester,Monroe,,78.6,78.6,0,,21.43,43.24733,-77.695071
3402,New York,2017-18,Zion Lutheran,Private,Owego,Tioga,,78.6,78.6,0,,21.43,42.09784,-76.285401
3403,New York,2017-18,St Paul Lutheran,Private,Batavia,Genesee,,78.4,75.7,0,,21.62,43.001492,-78.185674
3404,New York,2017-18,Huntington Montesori-Northshore Learning Inc.,Private,Huntington Station,Suffolk,,78.1,65.6,0,,0,40.8213444,-73.3905236
3405,New York,2017-18,Progressive School Of Long Island,Private,Merrick,Nassau,,78,76.3,0,,22.03,40.68434,-73.559821
3406,New York,2017-18,Whispering Pines,Private,Old Westbury,Nassau,,77.7,62.5,0,,4.46,40.7672174,-73.5952136
3407,New York,2017-18,Congregation Ohr Menachem,Private,Brooklyn,Kings,,77.1,69.8,0.52,,15.63,40.667179,-73.929644
3408,New York,2017-18,Frontenac Sda,Private,Union Springs,Cayuga,,76.9,76.9,0,,23.08,42.847642,-76.675157
3409,New York,2017-18,Mountain Road,Private,New Lebanon,Columbia,,76.9,76.9,0,,23.08,42.496196,-73.441816
3410,New York,2017-18,The Waldorf School Of Garden City,Private,Garden City,Nassau,,76.8,74.9,0.32,,23.15,40.718306,-73.653521
3411,New York,2017-18,Montgomery Montessori School Inc.,Private,Montgomery,Orange,,76.6,76.6,0,,21.28,41.5264545,-74.2360983
3412,New York,2017-18,Wellspring Elementary,Private,Hollis,Queens,,76.6,66.7,0,,7.21,40.71328,-73.769711
3413,New York,2017-18,Yeshiva Chasdei Torah,Private,Brooklyn,Kings,,76.2,76.2,0,,4.76,40.6147594,-73.9823372
3414,New York,2017-18,Bais Yisroel,Private,Kiamesha Lake,Sullivan,,76,57.3,0,,5.33,41.6859159,-74.6575999
3415,New York,2017-18,Madonna Hgts School For Girls,Private,Dix Hills,Suffolk,,75.9,75.9,0,,0,40.7793082,-73.3657314
3416,New York,2017-18,Yeshiva Kinyan Torah,Private,Monsey,Rockland,,75.9,41,0,,2.41,41.1195907,-74.0876597
3417,New York,2017-18,St Brigid Catholic Academy,Private,Brooklyn,Kings,,75.8,51,0,,0,40.7016285,-73.9121607
3418,New York,2017-18,Our Montessori,Private,Yorktown Heights,Westchester,,75.7,70.3,0,,18.92,41.28275,-73.793261
3419,New York,2017-18,Randolph School (The),Private,Wappingers Falls,Dutchess,,75.6,48.8,0,,12.2,41.586272,-73.922932
3420,New York,2017-18,Uta-Boys And Girls,Private,Monsey,Rockland,,75.4,62.1,0.06,,6.15,41.1112069,-74.0684751
3421,New York,2017-18,Waldorf School Of Saratoga Springs,Private,Saratoga Springs,Saratoga,,75.4,73.1,0,,23.98,43.07655,-73.781821
3422,New York,2017-18,Andalusia,Private,Yonkers,Westchester,,75.3,58.4,0,,1.12,40.93482,-73.885871
3423,New York,2017-18,Congregation Yeshuos Moshe Viznitz,Private,Monsey,Rockland,,75.3,55.7,0,,6.96,41.1364371,-74.0751284
3424,New York,2017-18,Bethlehem Childrens,Private,Slingerlands,Albany,,75,75,0,,25,42.626191,-73.8796799
3425,New York,2017-18,Children's Harbor Montessori,Private,Staten Island,Richmond,,75,75,0,,0,40.643951,-74.102279
3426,New York,2017-18,High Meadow,Private,Stone Ridge,Ulster,,75,55.6,0,,16.94,41.849547,-74.140161
3427,New York,2017-18,Maimonides Day Sch,Private,Lake Grove,Suffolk,,75,75,0,,0,40.839167,-73.111478
3428,New York,2017-18,Pine View,Private,Mayville,Chautauqua,,75,40,0,,0,42.2579048,-79.5145368
3429,New York,2017-18,Little River Comm,Private,Canton,St. Lawrence,,74.4,74.4,0,,25.64,44.5332795,-75.1341846
3430,New York,2017-18,Southeast Christian Academy,Private,Penfield,Monroe,,74.2,74.2,0,,25.81,43.147278,-77.43649
3431,New York,2017-18,Bais Yehuda,Private,Monsey,Rockland,,74,66.3,0,,0,41.113838,-74.068655
3432,New York,2017-18,Maple Lane,Private,Mayville,Chautauqua,,73.9,39.1,0,,8.7,42.2545335,-79.5054396
3433,New York,2017-18,Ideal Islamic,Private,Long Island City,Queens,,73.7,57.9,0,,0,40.7680129,-73.9339309
3434,New York,2017-18,Lakeside,Private,Essex,Essex,,73.7,73.7,0,,26.32,44.278878,-73.4185091
3435,New York,2017-18,Castle Island Bilingual Montessori,Private,Albany,Albany,,73.3,60,0,,33.33,42.65142,-73.768421
3436,New York,2017-18,Country Classroom,Private,Middleburgh,Schoharie,,73.3,60,0,,26.67,42.58189,-74.275611
3437,New York,2017-18,Yeshiva Belz,Private,Spring Valley,Rockland,,73.2,59.2,0,,4.74,41.111082,-74.05248
3438,New York,2017-18,Primrose Hill,Private,Rhinebeck,Dutchess,,73.1,73.1,0,,25,41.93867,-73.911161
3439,New York,2017-18,Tabernacle Christian Academy,Private,Poughkeepsie,Dutchess,,72.8,60.8,0,,12,41.69368,-73.927961
3440,New York,2017-18,Mosdos Chasidei Sq.-T.Y.Y. Boro Park,Private,Brooklyn,Kings,,72.7,72.5,0.45,,1.34,40.6372834,-73.9865418
3441,New York,2017-18,Sunny View,Private,Penn Yan,Yates,,72.7,72.7,0,,27.27,42.54485154,-77.04306737
3442,New York,2017-18,Brooklyn Waldorf,Private,Brooklyn,Kings,,72.6,66.5,0,,24.02,40.6827005,-73.9572258
3443,New York,2017-18,Blue Rock,Private,West Nyack,Rockland,,72.4,56.3,0,,26.44,41.10381,-73.985881
3444,New York,2017-18,Bnos Esther Pupa (Girls),Private,Spring Valley,Rockland,,71.8,44.8,0,,0.83,41.1239481,-74.0406636
3445,New York,2017-18,Elmwood Day,Private,White Plains,Westchester,,71.4,71.4,0,,28.57,41.034586,-73.8315147
3446,New York,2017-18,Mission Spirit Academy,Private,Utica,Oneida,,71.4,42.9,0,,0,43.1093353,-75.1428176
3447,New York,2017-18,Ms. Claire's Montessori,Private,Montgomery,Orange,,71.4,71.4,0,,14.29,41.526582,-74.2274015
3448,New York,2017-18,Congregation Yeshiva Noiam Mgodim,Private,Spring Valley,Rockland,,71.3,54.4,1.03,,27.69,41.141802,-74.033652
3449,New York,2017-18,Albany Free School (The),Private,Albany,Albany,,70.8,37.5,0,,16.67,42.6457676,-73.7575299
3450,New York,2017-18,Montessori Discovery,Private,Syracuse,Onondaga,,70,70,0,,30,43.02097,-76.102031
3451,New York,2017-18,Cong Vien Of Monsey - Bnos Chana Vien,Private,Monsey,Rockland,,69.6,65.2,0,,21.74,41.1195575,-74.0895743
3452,New York,2017-18,Hebron Sda Bilingual,Private,Brooklyn,Kings,,69,52.4,0,,0,40.6728462,-73.9466824
3453,New York,2017-18,Ithaca Waldorf,Private,Ithaca,Tompkins,,68.3,61.9,1.59,,30.16,42.39141,-76.492661
3454,New York,2017-18,Shema Kolainu - Hear Our Voices,Private,Brooklyn,Kings,,68.2,68.2,0,,31.82,40.64177,-73.994451
3455,New York,2017-18,Toras Emachu,Private,Monsey,Rockland,,68.1,65,0.38,,30,41.119977,-74.089694
3456,New York,2017-18,Congregation Bais Chana Malka,Private,Spring Valley,Rockland,,68,46.1,0,,27.67,41.1209551,-74.0435069
3457,New York,2017-18,Hebrew Day School Of Sullivan & Ulster County,Private,Kiamesha Lake,Sullivan,,67.9,56.6,0,,13.21,41.6832726,-74.658
3458,New York,2017-18,Valley View,Private,Penn Yan,Yates,,67.7,61.3,0,,32.26,42.70034145,-77.13098434
3459,New York,2017-18,Meadow Lane,Private,Penn Yan,Yates,,66.7,61.9,0,,33.33,42.54506906,-76.95853492
