index,state,year,name,county,enroll,mmr,xmed,xper,xrel,lat,lng
170,Maine,2018-19,Waterboro Elementary,York,78,94.87,0,5.13,0,43.6371135,-70.6022254
171,Maine,2018-19,Brewer Community,Penobscot,97,94.85,0,5.15,1.03,46.979121,-67.8196095
172,Maine,2018-19,Central Community Elementary,Penobscot,77,94.81,0,1.3,3.9,46.8768885,-68.1124656
173,Maine,2018-19,Franklin County Totals,Franklin,231,94.81,0,8.23,0.43,44.2661906,-68.5691898
174,Maine,2018-19,Penobscot County Totals,Penobscot,1347,94.8,0.67,4.53,0.74,44.9194199,-68.6249366
175,Maine,2018-19,John F Kennedy,York,172,94.77,0.58,1.74,0,44.3887952,-69.9666104
176,Maine,2018-19,Cushing Community,Knox,19,94.74,0,5.26,0,43.6288237,-70.2687983
177,Maine,2018-19,Dayton Consolidated,York,19,94.74,0,0,0,43.795284,-70.254316
178,Maine,2018-19,Hall-Dale Elementary,Kennebec,57,94.74,0,7.02,0,44.4545185,-68.3687543
179,Maine,2018-19,Harrington Elementary,Washington,19,94.74,0,5.26,0,44.2692097,-69.6986345
180,Maine,2018-19,Woodland,Aroostook,19,94.74,0,5.26,0,43.4475441,-70.7710528
181,Maine,2018-19,Kennebunk Elementary,York,94,94.68,1.06,4.26,0,44.3542715,-70.0701066
182,Maine,2018-19,Helen Thompson Elementary,Kennebec,37,94.59,0,8.11,0,44.3326985,-69.7817455
183,Maine,2018-19,Earl C. Mcgraw Elementary,Penobscot,90,94.44,1.11,4.44,0,43.5887685,-70.2997541
184,Maine,2018-19,East Belfast Elementary,Waldo,18,94.44,0,0,5.56,43.8975219,-70.1937551
185,Maine,2018-19,Great Salt Bay Community,Lincoln,36,94.44,0,5.56,0,44.5188721,-68.1911562
186,Maine,2018-19,Union Elementary,Knox,18,94.44,0,5.56,0,45.1563319,-67.4130853
187,Maine,2018-19,Longfellow Elementary,Cumberland,53,94.34,0,5.66,0,44.1267919,-69.2394448
188,Maine,2018-19,Lillian Hussey Elementary,Kennebec,35,94.29,0,2.86,0,44.2674978,-69.3716381
189,Maine,2018-19,Woolwich Central,Sagadahoc,35,94.29,0,5.71,0,43.3206162,-70.5942708
190,Maine,2018-19,Piscataquis County Totals,Piscataquis,172,94.19,1.16,5.23,0,44.0292018,-69.9369445
191,Maine,2018-19,Garret Schenck,Somerset,17,94.12,0,0,0,44.7271554,-68.6231213
192,Maine,2018-19,Great Falls Elementary,Cumberland,102,94.12,0,5.88,0,44.468687,-68.7091947
193,Maine,2018-19,Morse Memorial,Waldo,17,94.12,0,5.88,0,44.213252,-70.525832
194,Maine,2018-19,Phippsburg Elementary,Sagadahoc,17,94.12,0,5.88,0,45.2502866,-68.9795286
195,Maine,2018-19,Kennebec County Totals,Kennebec,1368,94.08,0.07,4.17,0.95,44.4376112,-69.6533057
196,Maine,2018-19,Riverton Elementary,Cumberland,67,94.03,1.49,0,0,44.588919,-69.5991414
197,Maine,2018-19,York County Totals,York,1775,94.03,0.39,5.18,0.34,43.512267,-70.451623
198,Maine,2018-19,Rumford Elementary,Oxford,50,94,0,6,0,45.072021,-69.895118
199,Maine,2018-19,Androscoggin County Totals,Androscoggin,1344,93.97,0.37,5.58,0.45,44.0225204,-70.0876419
200,Maine,2018-19,Somerset County Totals,Somerset,512,93.95,0.39,4.88,0.2,44.462762,-68.925218
201,Maine,2018-19,Walton Elementary,Androscoggin,33,93.94,0,6.06,0,43.1237958,-70.7884361
202,Maine,2018-19,Waldo County Totals,Waldo,295,93.9,0.34,4.41,0.68,43.3732411,-70.5132062
203,Maine,2018-19,Montello Elementary,Androscoggin,98,93.88,2.04,4.08,0,44.1341911,-70.4960325
204,Maine,2018-19,Patricia A. Duran School (Formerly Hermon Elementary School),Penobscot,98,93.88,0,8.16,0,44.9246233,-68.6653508
205,Maine,2018-19,North Elementary,Somerset,97,93.81,1.03,10.31,0,45.2462097,-68.5876704
206,Maine,2018-19,Solon Elementary,Somerset,16,93.75,0,6.25,0,44.4540321,-69.097352
207,Maine,2018-19,Spruce Mountain Primary,Androscoggin,128,93.75,0,7.03,0,44.6693695,-67.2570904
208,Maine,2018-19,St. Michael,Kennebec,16,93.75,0,6.25,0,45.4250603,-67.7223825
209,Maine,2018-19,Waynflete,Cumberland,16,93.75,0,6.25,0,43.4175883,-70.5610119
210,Maine,2018-19,Winslow Elementary,Kennebec,95,93.68,0,8.42,1.05,43.5122214,-70.3956934
211,Maine,2018-19,Saccarappa Elementary,Cumberland,63,93.65,3.17,3.17,0,44.9462983,-69.8539526
212,Maine,2018-19,Vine Street,Penobscot,47,93.62,0,6.38,0,43.6522015,-70.541905
213,Maine,2018-19,Cumberland County Totals,Cumberland,2854,93.59,1.37,4.2,0.14,43.636245,-70.24754
214,Maine,2018-19,Elm Street,Androscoggin,31,93.55,0,9.68,0,43.8032524,-70.1884105
215,Maine,2018-19,Granite Street,Penobscot,30,93.33,6.67,6.67,0,44.4051775,-68.0314939
216,Maine,2018-19,Lee Winn Elementary,Penobscot,15,93.33,0,0,6.67,44.2076488,-69.0670468
217,Maine,2018-19,Margaret Murphy Center For Children- Rodman Campus,Androscoggin,15,93.33,0,6.67,0,44.0081975,-69.6619126
218,Maine,2018-19,Mountain View,Hancock,30,93.33,0,13.33,0,44.8064362,-68.762449
219,Maine,2018-19,Ellsworth Elementary/Middle,Hancock,89,93.26,0,6.74,0,43.646421,-70.270603
220,Maine,2018-19,Sagadahoc County Totals,Sagadahoc,310,93.23,0.97,5.16,0.32,45.5913402,-69.9999212
221,Maine,2018-19,Ridge View Community,Penobscot,59,93.22,1.69,5.08,0,45.0118017,-69.2762767
222,Maine,2018-19,Windsor Elementary,Kennebec,44,93.18,0,0,0,43.3064145,-70.7412601
223,Maine,2018-19,Gov James B Longley Elementary,Androscoggin,58,93.1,0,6.9,0,44.555137,-68.20312
224,Maine,2018-19,Lewis S. Libby,Penobscot,29,93.1,3.45,3.45,0,44.1507833,-68.8756983
225,Maine,2018-19,Milo Elementary,Piscataquis,43,93.02,0,6.98,0,44.2300079,-70.3503682
226,Maine,2018-19,Pemetic Elementary,Hancock,14,92.86,0,7.14,0,45.0118017,-69.2740827
227,Maine,2018-19,Sedomocha,Piscataquis,70,92.86,1.43,8.57,0,44.633406,-68.8511467
228,Maine,2018-19,Trenton Elementary,Hancock,14,92.86,7.14,7.14,0,45.2174644,-67.5509375
229,Maine,2018-19,Williams-Cone,Sagadahoc,41,92.68,0,2.44,0,43.9297736,-69.9633955
230,Maine,2018-19,Oxford County Totals,Oxford,685,92.55,0.15,7.88,0,45.1201311,-68.6083502
231,Maine,2018-19,Berwick Academy,York,13,92.31,0,7.69,0,44.4380493,-70.2020164
232,Maine,2018-19,Mount Merici Academy,Kennebec,26,92.31,0,7.69,0,44.3979919,-70.645963
233,Maine,2018-19,Lincoln Elementary,Kennebec,51,92.16,0,0,9.8,43.9680693,-69.2127835
234,Maine,2018-19,Newport Elementary,Penobscot,50,92,0,8,0,44.8289466,-68.6592292
235,Maine,2018-19,Abraham Lincoln,Penobscot,37,91.89,0,8.11,0,44.104533,-70.212795
236,Maine,2018-19,Sacopee Valley Elementary,Oxford,73,91.78,0,8.22,0,44.9033896,-69.4195151
237,Maine,2018-19,Center Drive,Penobscot,36,91.67,0,8.33,2.78,46.8650175,-68.0059735
238,Maine,2018-19,Edgecomb Eddy,Lincoln,12,91.67,0,8.33,0,43.855236,-70.6381441
239,Maine,2018-19,Governor John Fairfield,York,108,91.67,0,11.11,0,44.2810883,-68.3250706
240,Maine,2018-19,Hartford Sumner Elementary,Oxford,48,91.67,0,8.33,0,44.4392185,-69.5228777
241,Maine,2018-19,Manchester Elementary,Kennebec,24,91.67,0,8.33,0,44.2055659,-69.4560674
242,Maine,2018-19,Marcia Buker Elementary,Sagadahoc,24,91.67,0,8.33,0,43.8680899,-69.5601296
243,Maine,2018-19,Hancock County Totals,Hancock,449,91.54,0.67,8.46,0.67,44.5426687,-68.4258533
244,Maine,2018-19,Laura E. Richards Elementary,Kennebec,59,91.53,0,8.47,0,44.188201,-69.0958178
245,Maine,2018-19,Henry L Cottrell,Kennebec,47,91.49,0,6.38,4.26,44.2256878,-69.8766334
246,Maine,2018-19,Oxford- Cumberland Canal Elementary,Cumberland,47,91.49,10.64,4.26,0,45.9260017,-68.4378585
247,Maine,2018-19,Mcmahon Elementary,Androscoggin,82,91.46,0,7.32,1.22,44.6321994,-70.7535045
248,Maine,2018-19,Gilbert Elementary,Kennebec,35,91.43,0,8.57,0,44.3326985,-69.7839395
249,Maine,2018-19,East Auburn Community,Androscoggin,23,91.3,0,8.7,0,43.5953925,-70.2298561
250,Maine,2018-19,Songo Locks,Cumberland,56,91.07,1.79,1.79,0,44.6624393,-69.2608466
251,Maine,2018-19,Carrabec Community,Somerset,11,90.91,0,9.09,0,46.6727651,-68.0090134
252,Maine,2018-19,George J. Mitchell,Kennebec,154,90.91,0,2.6,1.3,44.2245068,-68.6777805
253,Maine,2018-19,Hope Elementary,Knox,22,90.91,0,9.09,0,44.219008,-69.781633
254,Maine,2018-19,Lincolnville Central,Waldo,22,90.91,0,4.55,4.55,44.0828531,-69.1838693
255,Maine,2018-19,South,Knox,55,90.91,0,12.73,0,44.4122271,-68.9939022
256,Maine,2018-19,West Bath,Sagadahoc,11,90.91,0,9.09,0,43.0587818,-70.769373
257,Maine,2018-19,Steep Falls Elementary,Cumberland,32,90.63,0,6.25,3.13,44.8955406,-67.2236037
258,Maine,2018-19,Knox County Totals,Knox,393,90.59,0.51,10.18,0.25,44.2739501,-69.2687487
259,Maine,2018-19,Boothbay Region Schools,Lincoln,21,90.48,0,9.52,0,44.107213,-70.2287059
260,Maine,2018-19,Eddington,Penobscot,42,90.48,4.76,7.14,2.38,43.6723356,-70.3762128
261,Maine,2018-19,Bayridge Elementary,Washington,10,90,0,10,0,44.6693695,-67.2592844
262,Maine,2018-19,Bowdoinham Community,Sagadahoc,30,90,0,10,0,46.9729864,-68.0357653
263,Maine,2018-19,Phillips Elementry,Franklin,10,90,0,40,0,45.4584123,-69.5980262
264,Maine,2018-19,Woodside Elementary,Sagadahoc,50,90,0,4,2,43.1468733,-70.6562088
265,Maine,2018-19,Hollis Elementary,York,49,89.8,0,12.24,0,44.2548006,-70.0384995
266,Maine,2018-19,Lyseth Elementary,Cumberland,86,89.53,2.33,2.33,0,43.8643242,-69.6294601
267,Maine,2018-19,Buxton Center Elementary,York,76,89.47,0,13.16,0,46.68021,-68.1502359
268,Maine,2018-19,Camden Rockport Elementary,Knox,76,89.47,1.32,10.53,1.32,46.7644253,-67.8382738
269,Maine,2018-19,Jefferson Village,Lincoln,19,89.47,0,5.26,5.26,44.3257219,-69.864162
270,Maine,2018-19,Kermit Nickerson Elementary,Waldo,19,89.47,5.26,5.26,0,44.5551239,-69.6179471
271,Maine,2018-19,Lincoln County Totals,Lincoln,256,89.45,0,9.77,0.39,44.095156,-69.116812
272,Maine,2018-19,Mildred L Day,York,37,89.19,0,8.11,2.7,43.9636464,-70.8614587
273,Maine,2018-19,Acton Elementary,York,18,88.89,5.56,5.56,0,43.9708763,-70.1263376
274,Maine,2018-19,Albion Elementary,Kennebec,9,88.89,0,11.11,0,44.1053261,-70.3858852
275,Maine,2018-19,Athens Community,Somerset,18,88.89,0,5.56,0,44.0998308,-70.2454719
276,Maine,2018-19,Connor Consolidated,Aroostook,9,88.89,0,11.11,0,43.8879737,-70.3336125
277,Maine,2018-19,Dedham,Hancock,18,88.89,0,11.11,5.56,43.8525164,-70.1431229
278,Maine,2018-19,Elm Street,Washington,18,88.89,0,11.11,0,43.7875568,-70.4168156
279,Maine,2018-19,Hancock Grammar,Hancock,18,88.89,0,11.11,0,44.5309156,-69.4405115
280,Maine,2018-19,Pownal Elementary,Cumberland,18,88.89,0,11.11,0,43.808942,-69.821453
281,Maine,2018-19,Reiche,Cumberland,81,88.89,12.35,2.47,0,44.8617255,-69.8892246
282,Maine,2018-19,St. Albans Consolidated,Somerset,36,88.89,0,0,0,44.5162884,-67.6116067
283,Maine,2018-19,Stepping Stones Montessori,Kennebec,9,88.89,11.11,0,0,44.5117963,-67.9612359
284,Maine,2018-19,Whitefield Elementary,Lincoln,18,88.89,0,11.11,0,43.6555298,-70.8392988
285,Maine,2018-19,Searsport Elementary,Waldo,44,88.64,0,6.82,0,44.4424158,-69.1469059
286,Maine,2018-19,Turner Primary,Androscoggin,70,88.57,0,11.43,0,44.7912546,-67.1752076
287,Maine,2018-19,Manson Park,Somerset,61,88.52,1.64,9.84,0,44.0703204,-69.6119069
288,Maine,2018-19,Saint Dominic Academy,Androscoggin,26,88.46,0,11.54,0,44.4469693,-69.0002854
289,Maine,2018-19,Lamoine Consolidated,Hancock,17,88.24,0,5.88,5.88,44.4784774,-68.342919
290,Maine,2018-19,Minot Consolidated,Androscoggin,34,88.24,0,11.76,2.94,44.555704,-70.5271133
291,Maine,2018-19,Ocean Avenue Elementary,Cumberland,51,88.24,1.96,7.84,0,44.8033263,-68.7934118
292,Maine,2018-19,Troy Elementary,Waldo,17,88.24,0,11.76,0,44.7149969,-67.46876
293,Maine,2018-19,Eliot Elementary,York,67,88.06,1.49,10.45,4.48,43.7838096,-70.6366266
294,Maine,2018-19,East End Community,Cumberland,58,87.93,6.9,5.17,0,43.6842812,-70.2594094
