index,state,year,name,type,city,county,enroll,mmr,overall,xmed,xper,xrel,lat,lng
3354,California,2018-19,Thurgood Marshall Elementary,Public,Oxnard,Ventura,93,98,98,2,,,34.22124,-119.208513
3355,California,2018-19,Tierra Bonita Elementary,Public,Poway,San Diego,88,98,86,1,,,32.980801,-117.028692
3356,California,2018-19,Tierra Buena Elementary,Public,Yuba City,Sutter,67,98,98,2,,,39.152799,-121.664704
3357,California,2018-19,Tierrasanta Elementary,Public,San Diego,San Diego,110,98,96,1,,,32.829434,-117.096832
3358,California,2018-19,Tiffany Burton C. Elementary,Public,Chula Vista,San Diego,69,98,98,2,,,32.645639,-116.991026
3359,California,2018-19,Tipton Elementary,Public,Tipton,Tulare,72,98,97,0,,,36.062537,-119.309845
3360,California,2018-19,Tokay Elementary,Public,Fontana,San Bernardino,95,98,95,0,,,34.110858,-117.456435
3361,California,2018-19,Toler Elementary,Public,San Diego,San Diego,72,98,97,0,,,32.801444,-117.210245
3362,California,2018-19,Tom Hawkins Elementary,Public,Tracy,San Joaquin,91,98,98,2,,,37.705225,-121.418701
3363,California,2018-19,Tom Maloney Elementary,Public,Fremont,Alameda,99,98,98,2,,,37.545919,-121.997986
3364,California,2018-19,Tomas Rivera Elementary,Public,Riverside,Riverside,119,98,97,0,,,33.888437,-117.306444
3365,California,2018-19,Topaz Elementary,Public,Fullerton,Orange,86,98,98,2,,,33.885406,-117.869866
3366,California,2018-19,Topeka Charter School For Advanced Studies,Public,Northridge,Los Angeles,111,98,95,3,,,34.248202,-118.546631
3367,California,2018-19,Torrance Elementary,Public,Torrance,Los Angeles,80,98,98,2,,,33.824413,-118.321719
3368,California,2018-19,Torrey Hills,Public,San Diego,San Diego,68,98,96,1,,,32.914188,-117.223456
3369,California,2018-19,Torrey Pines Elementary,Public,La Jolla,San Diego,84,98,98,2,,,32.85917,-117.243647
3370,California,2018-19,Tournament Hills Elementary,Public,Beaumont,Riverside,121,98,93,0,,,33.953461,-117.021212
3371,California,2018-19,Tovashal Elementary,Public,Murrieta,Riverside,116,98,98,2,,,33.593448,-117.201574
3372,California,2018-19,Towers Elementary,Public,Torrance,Los Angeles,129,98,98,1,,,33.855007,-118.375445
3373,California,2018-19,Towngate Elementary,Public,Moreno Valley,Riverside,123,98,98,2,,,33.928579,-117.271237
3374,California,2018-19,Trapp Elementary,Public,Rialto,San Bernardino,68,98,98,2,,,34.148792,-117.388959
3375,California,2018-19,Treeview Elementary,Public,Hayward,Alameda,71,98,98,2,,,37.624649,-122.037421
3376,California,2018-19,Tremont Elementary,Public,Dixon,Solano,76,98,98,2,,,38.448378,-121.845544
3377,California,2018-19,Troth Street Elementary,Public,Jurupa Valley,Riverside,100,98,91,0,,,33.986589,-117.517546
3378,California,2018-19,Tully C. Knoles,Public,Stockton,San Joaquin,62,98,98,2,,,38.00283,-121.345257
3379,California,2018-19,Tulsa Street Elementary,Public,Granada Hills,Los Angeles,91,98,98,2,,,34.269009,-118.493153
3380,California,2018-19,Tuolumne Elementary,Public,Modesto,Stanislaus,60,98,97,2,,,37.619766,-120.976157
3381,California,2018-19,Turner Elementary,Public,Fresno,Fresno,88,98,98,2,,,36.754957,-119.717387
3382,California,2018-19,Tustin Memorial Elementary,Public,Santa Ana,Orange,83,98,98,2,,,33.743304,-117.793782
3383,California,2018-19,Tustin Ranch Elementary,Public,Tustin,Orange,77,98,96,0,,,33.734138,-117.787596
3384,California,2018-19,Twain Elementary,Public,Long Beach,Los Angeles,84,98,98,2,,,33.84067,-118.134709
3385,California,2018-19,Twin Creeks Elementary,Public,San Ramon,Contra Costa,70,98,98,2,,,37.768424,-121.985756
3386,California,2018-19,Twin Lakes Elementary,Public,El Monte,Los Angeles,75,98,98,2,,,34.071037,-118.004777
3387,California,2018-19,Twin Oaks Elementary,Public,San Marcos,San Diego,129,98,98,2,,,33.178011,-117.156878
3388,California,2018-19,Twin Oaks Elementary,Public,Rocklin,Placer,72,98,97,0,,,38.809999,-121.264559
3389,California,2018-19,Twin Rivers Charter,Public,Yuba City,Sutter,60,98,98,2,,,39.16381,-121.623951
3390,California,2018-19,Twinhill Elementary,Public,Riverside,Riverside,72,98,97,0,,,33.9321,-117.493494
3391,California,2018-19,Two Hundred Thirtysecond Place,Public,Carson,Los Angeles,97,98,98,2,,,33.814183,-118.282311
3392,California,2018-19,Two Rivers Elementary,Public,Sacramento,Sacramento,96,98,98,2,,,38.610368,-121.533663
3393,California,2018-19,Tyrrell Elementary,Public,Hayward,Alameda,88,98,98,2,,,37.638479,-122.075682
3394,California,2018-19,Ulloa Elementary,Public,San Francisco,San Francisco,88,98,98,2,,,37.737448,-122.499669
3395,California,2018-19,Union House Elementary,Public,Sacramento,Sacramento,95,98,97,0,,,38.472356,-121.455749
3396,California,2018-19,University Park Elementary,Public,Irvine,Orange,89,98,98,2,,,33.662074,-117.819684
3397,California,2018-19,University Preparation Charter School At Csu Channel Islands,Public,Camarillo,Ventura,81,98,95,0,,,34.223113,-119.029481
3398,California,2018-19,Unsworth Edith Elementary,Public,Downey,Los Angeles,91,98,96,0,,,33.9562997,-118.1075308
3399,California,2018-19,Upland Elementary,Public,Upland,San Bernardino,55,98,98,2,,,34.100944,-117.64476
3400,California,2018-19,Urban Discovery Academy Charter,Public,San Diego,San Diego,66,98,98,2,,,32.714198,-117.152248
