index,name,state,county,enroll,overall,xmed,xrel,xper,lat,lng
1723,Far Brook,New Jersey,Essex,20,90,5,5,,40.7481834,-74.3143878
1724,"First Children, LLC",New Jersey,Union,10,90,,10,,40.6410903,-74.3803274
1725,Hawthorne Avenue,New Jersey,Essex,40,90,,,,40.71841,-74.212091
1726,James F. Cooper Elementary,New Jersey,Camden,30,90,,10,,39.906572,-74.958937
1727,P.G. Chambers,New Jersey,Morris,10,90,,10,,40.822906,-74.44669
1728,Painted Oak Nursery,New Jersey,Hunterdon,10,90,,10,,40.3859752,-74.8122233
1729,Princeton Junior,New Jersey,Mercer,10,90,,,,40.3107157,-74.7083642
1730,Red Bank Charter,New Jersey,Monmouth,20,90,,10,,40.3483697,-74.0718243
1731,Sicomac Elementary,New Jersey,Bergen,50,90,2,8,,40.9872422,-74.1747427
1732,St. Raphael,New Jersey,Mercer,10,90,,10,,40.1901732,-74.6979386
1733,The Goddard - Woodbridge,New Jersey,Middlesex,20,90,,10,,40.56025,-74.312818
1734,Trinity Episcopal Day,New Jersey,Union,10,90,,10,,40.6570672,-74.2980345
1735,Wesley Hall for Early Childhood,New Jersey,Union,10,90,,10,,40.650303,-74.3504999
1736,Yeshiva Toras Emes,New Jersey,Ocean,30,90,,10,,40.0778198,-74.2435854
1737,Saint Joseph,New Jersey,Essex,89,89.9,,,,40.7520237,-74.2280148
1738,Woodrow Wilson Elementary,New Jersey,Middlesex,88,89.8,,,,40.4853818,-74.4063229
1739,Bayview Elementary,New Jersey,Monmouth,58,89.7,3.4,6.9,,40.4137175,-74.0844412
1740,Canfield Avenue,New Jersey,Morris,58,89.7,1.7,6.9,,40.8769122,-74.6019248
1741,Nellie F. Bennett,New Jersey,Ocean,116,89.7,1.7,6.9,,40.0680389,-74.0629483
1742,Shiras Chaim,New Jersey,Ocean,48,89.6,,6.2,,40.0703288,-74.195098
1743,Hope Township,New Jersey,Warren,19,89.5,,5.3,,40.9108,-74.964376
1744,Long Memorial Elementary,New Jersey,Bergen,38,89.5,,10.5,,40.915382,-74.1034405
1745,Raritan Valley Montessori,New Jersey,Somerset,19,89.5,,,,40.5682477,-74.5760667
1746,School for Children with Hidden Intelligence,New Jersey,Ocean,19,89.5,10.5,,,40.0673773,-74.2061204
1747,John A. Forrest Elementary,New Jersey,Bergen,47,89.4,,8.5,,40.9339835,-74.1295014
1748,Tewksbury Elementary,New Jersey,Hunterdon,47,89.4,,10.6,,40.7229574,-74.7642861
1749,Adlai Stevenson,New Jersey,Essex,84,89.3,,9.5,,40.8821873,-74.3164858
1750,Riverdale Public,New Jersey,Morris,28,89.3,,10.7,,40.9929584,-74.3040362
1751,Roebling Elementary,New Jersey,Burlington,84,89.3,,3.6,,40.115753,-74.780803
1752,Perry L. Drew Elementary,New Jersey,Mercer,65,89.2,,3.1,,40.2744022,-74.4890458
1753,Abundant Life Christian,New Jersey,Morris,9,88.9,,11.1,,40.8239605,-74.4365933
1754,Discovery Christian Montessori,New Jersey,Middlesex,18,88.9,,11.1,,40.5959521,-74.3642556
1755,Fourteenth Avenue,New Jersey,Essex,9,88.9,,,,40.7385662,-74.1997691
1756,Joseph T. Donahue,New Jersey,Ocean,27,88.9,,3.7,,39.7756336,-74.2353515
1757,Lighthouse Christian Academy,New Jersey,Ocean,9,88.9,,11.1,,39.6992349,-74.2455815
1758,Lincroft Elementary,New Jersey,Monmouth,54,88.9,,11.1,,40.3300139,-74.1252678
1759,Noah's Ark,New Jersey,Union,9,88.9,11.1,,,40.6471431,-74.3399169
1760,Saints Philip and James,New Jersey,Warren,18,88.9,,11.1,,40.7007003,-75.1769311
1761,Sandy Lane Nursery,New Jersey,Essex,9,88.9,,11.1,,40.79094,-74.174274
1762,Shining Lights Early Childcare Center,New Jersey,Camden,9,88.9,,,,39.895814,-74.969123
1763,Veterans Memorial Elementary,New Jersey,Ocean,108,88.9,,3.7,,40.0844138,-74.1169195
1764,Bnos Orchos Chaim,New Jersey,Ocean,53,88.7,1.9,3.8,,40.0718633,-74.1850395
1765,East Dover Elementary and Middle,New Jersey,Morris,53,88.7,,1.9,,40.8894345,-74.5476197
1766,Chein Bais Yaakov,New Jersey,Ocean,26,88.5,,7.7,,40.0633338,-74.2028899
1767,James Madison 10,New Jersey,Bergen,52,88.5,,11.5,,40.8717335,-74.0977519
1768,Conover Road Primary,New Jersey,Monmouth,86,88.4,,10.5,,40.3169608,-74.1904814
1769,Beachwood Elementary,New Jersey,Ocean,77,88.3,1.3,10.4,,39.9235542,-74.1918478
1770,George Washington Elementary - Wyckoff,New Jersey,Bergen,60,88.3,1.7,8.3,,41.0079441,-74.1708662
1771,Claremont Avenue,New Jersey,Middlesex,51,88.2,,7.8,,40.5939958,-74.3067796
1772,Jennings Elementary,New Jersey,Camden,17,88.2,,5.9,,39.900128,-75.071529
1773,Johnnie l. Cochran Academy,New Jersey,Essex,17,88.2,,11.8,,40.7824815,-74.2128978
1774,Montessori Preschool Academy,New Jersey,Middlesex,17,88.2,,,,40.316804,-74.5080823
1775,Oak Hill Academy,New Jersey,Monmouth,17,88.2,,11.8,,40.3438786,-74.1263275
1776,Saint Benedict's Prep,New Jersey,Essex,17,88.2,,5.9,,40.7359412,-74.1796412
1777,The King's Christian,New Jersey,Camden,17,88.2,,11.8,,39.9153607,-74.9597834
1778,Vineland Public Charter,New Jersey,Cumberland,34,88.2,,,,39.4830264,-75.0231816
1779,Yeshiva Mesoras Hatorah,New Jersey,Ocean,17,88.2,,11.8,,40.0771497,-74.215892
1780,Atlantic Christian,New Jersey,Atlantic,42,88.1,4.8,4.8,,39.359248,-74.63556
1781,W.R. James Sr. Elementary,New Jersey,Burlington,67,88.1,,9,,40.032127,-74.9001819
1782,Randall Carter Elementary,New Jersey,Passaic,50,88,,8,,40.9258808,-74.2475065
1783,Park Avenue Elementary,New Jersey,Monmouth,82,87.8,,1.8,,40.2510229,-74.2803211
1784,Tiferes Chaya,New Jersey,Ocean,49,87.8,,12.2,,39.9652553,-74.3118212
1785,Cheder Toras Zev,New Jersey,Ocean,73,87.7,,12.3,,40.0760725,-74.2539351
1786,Bradley Gardens Primary,New Jersey,Somerset,32,87.5,,6.2,,40.5630673,-74.663338
1787,Chatham Methodist Preschool,New Jersey,Morris,8,87.5,,12.5,,40.744457,-74.390743
1788,Christopher Academy - Westfield,New Jersey,Union,16,87.5,,12.5,,40.6518557,-74.3374948
1789,Clinton Public,New Jersey,Hunterdon,32,87.5,,12.5,,40.635713,-74.9063067
1790,First Christian Pentecostal Academy,New Jersey,Hudson,8,87.5,,12.5,,40.717564,-74.048727
1791,Gerrard Berman Day,New Jersey,Bergen,8,87.5,,12.5,,41.018172,-74.25481
1792,Harding Elementary,New Jersey,Union,96,87.5,,3.1,,40.6762057,-74.2952156
1793,Harmony Township Elementary,New Jersey,Warren,24,87.5,,12.5,,40.7421155,-75.141479
1794,Joyful Noise Christian,New Jersey,Burlington,8,87.5,,,,39.8901236,-74.9182042
1795,Kradle 2 Kindergarten,New Jersey,Bergen,8,87.5,,12.5,,41.002858,-74.244611
1796,Moreshes Bais Yaakov,New Jersey,Ocean,24,87.5,,12.5,,40.080202,-74.235088
1797,Saint Pius X,New Jersey,Morris,8,87.5,,12.5,,40.9117139,-74.3599517
1798,Sundance,New Jersey,Somerset,16,87.5,,12.5,,40.6139746,-74.4470699
1799,Tehilas Chaya Sara,New Jersey,Ocean,24,87.5,,8.3,,40.0795391,-74.2539787
1800,The Goddard - Clinton,New Jersey,Hunterdon,8,87.5,,12.5,,40.6412984,-74.8987766
1801,Turtle Creek Learning Academy,New Jersey,Monmouth,8,87.5,,12.5,,40.316183,-74.243685
1802,Nesivos Hatorah,New Jersey,Ocean,23,87,,4.4,,40.1060576,-74.1923533
1803,Kiel,New Jersey,Morris,38,86.8,,13.2,,40.9957266,-74.3731641
1804,Camden Prep Mt Ephraim Elementary,New Jersey,Camden,90,86.7,,,,39.9252899,-75.1065122
1805,Camden Street,New Jersey,Essex,75,86.7,,,,40.7492634,-74.2073181
1806,Edgar Child Care Center,New Jersey,Middlesex,15,86.7,,,,40.5345307,-74.3635584
1807,Far Hills Country Day,New Jersey,Somerset,15,86.7,,13.3,,40.6972024,-74.6179952
1808,Miftaahul Uloom Academy,New Jersey,Hudson,15,86.7,,6.7,,40.761638,-74.0366453
1809,Morris County EduCare and Enrichment Center-Kenvil,New Jersey,Morris,15,86.7,,13.3,,40.8803655,-74.6268324
1810,The French Academy of Billingual Culture,New Jersey,Bergen,15,86.7,6.7,6.7,,40.9181869,-74.0214061
1811,Burke Elementary,New Jersey,Camden,52,86.5,,1.9,,39.8645716,-75.0795121
1812,Eastern Christian Elementary,New Jersey,Bergen,37,86.5,,13.5,,40.997395,-74.1443892
1813,Thomas Jefferson Elementary,New Jersey,Passaic,37,86.5,,13.5,,40.853433,-74.1376434
1814,Yeshivat Yagdil Torah,New Jersey,Ocean,37,86.5,,5.4,,40.079332,-74.224046
1815,The Learning Experience - Woodbridge,New Jersey,Middlesex,22,86.4,4.6,9.1,,40.5558216,-74.2752666
1816,Old Farmers Road,New Jersey,Morris,51,86.3,2,11.8,,40.7705374,-74.7633423
1817,James Stoy Elementary,New Jersey,Camden,29,86.2,,13.8,,39.9063467,-75.053768
1818,Saint Mary's Regional,New Jersey,Atlantic,29,86.2,,13.8,,39.4711349,-74.919737
1819,Kingwood Township,New Jersey,Hunterdon,36,86.1,,8.3,,40.5063313,-75.0114778
1820,A-Plus Academy Child Care and Learning Center,New Jersey,Gloucester,7,85.7,,14.3,,39.6513362,-74.9524074
1821,Alphabetland,New Jersey,Morris,7,85.7,,14.3,,40.8994474,-74.4080088
1822,Bankbridge Elementary,New Jersey,Gloucester,7,85.7,14.3,,,39.7882701,-75.1192319
1823,Bright Horizons at Carnegie Center,New Jersey,Mercer,7,85.7,,,,40.321938,-74.6487663
1824,Center for Lifelong Learning,New Jersey,Middlesex,7,85.7,,14.3,,40.45186,-74.323176
1825,Cherrywood Academy,New Jersey,Camden,7,85.7,,14.3,,39.8024748,-75.0322045
1826,First Presbyterian Preschool and Kindergarten,New Jersey,Bergen,14,85.7,,14.3,,40.8907788,-73.9705778
1827,Hampton,New Jersey,Hunterdon,21,85.7,,14.3,,40.705782,-74.9547994
1828,Naudain Academy-A Montessori,New Jersey,Camden,14,85.7,,14.3,,39.8599637,-74.9260078
1829,Ridgewood Montessori,New Jersey,Bergen,21,85.7,,14.3,,40.9301145,-74.0785702
1830,Sung Star Academy,New Jersey,Ocean,7,85.7,,14.3,,39.9662971,-74.1874633
1831,Temple Beth Rishon Preschool,New Jersey,Bergen,7,85.7,,14.3,,40.9922496,-74.1831862
1832,The Goddard - Englewood Cliffs,New Jersey,Bergen,7,85.7,,14.3,,40.8737198,-73.9551088
1833,The Montessori Children's Academy - Morris,New Jersey,Morris,7,85.7,,14.3,,40.7858221,-74.4524754
1834,Timothy Christian Academy,New Jersey,Burlington,14,85.7,,14.3,,40.0037276,-74.7533185
1835,Vine Haven Adventist,New Jersey,Cumberland,7,85.7,,14.3,,39.4842641,-75.0024313
1836,Windsor Happy,New Jersey,Mercer,7,85.7,,,,40.3001438,-74.64164
1837,Crossroads Christian Academy,New Jersey,Hunterdon,20,85,,5,,40.6274156,-74.9233795
1838,Farmingdale Public,New Jersey,Monmouth,20,85,,5,,40.1955945,-74.1698358
1839,Pilgrim Academy,New Jersey,Atlantic,20,85,,15,,39.517037,-74.539702
1840,The Albrook,New Jersey,Somerset,20,85,5,10,,40.6588455,-74.5927596
1841,Apple Montessori,New Jersey,Passaic,33,84.8,,6.1,,41.050989,-74.387817
1842,George Washington Carver Institute - East Orange,New Jersey,Essex,33,84.8,,,,40.7747734,-74.2171041
1843,Rev. Dr. Ercel F. Webb Elementary/PS 22,New Jersey,Hudson,99,84.8,,1,,40.7136212,-74.0614983
1844,Bright Beginnings Learning Center - Piscataway,New Jersey,Middlesex,13,84.6,,15.4,,40.5319176,-74.419678
1845,Saint Mary's Prep,New Jersey,Morris,13,84.6,,15.4,,40.8952318,-74.4825151
1846,West Amwell Township,New Jersey,Hunterdon,26,84.6,,15.4,,40.387054,-74.9201669
1847,Yeshiva Shaarei Tzion Boys Division,New Jersey,Middlesex,13,84.6,,15.4,,40.5311516,-74.4237601
1848,Martin Luther King Elementary,New Jersey,Middlesex,140,84.3,,1.4,,40.5957643,-74.3743757
1849,Alvey's Education Never End Program,New Jersey,Union,19,84.2,,15.8,,40.644204,-74.252968
1850,Gloucester County Christian,New Jersey,Gloucester,19,84.2,,15.8,,39.737121,-75.160766
1851,Sunny Days Children's Academy,New Jersey,Camden,19,84.2,15.8,,,39.918615,-75.028992
1852,Noble Leadership Academy,New Jersey,Passaic,25,84,,16,,40.862631,-74.123105
1853,Ethel Jacobsen Elementary,New Jersey,Ocean,31,83.9,,12.9,,39.6548324,-74.1764742
1854,Academy Learning Center,New Jersey,Middlesex,6,83.3,16.7,,,40.353302,-74.4104098
1855,Cheder Bnei Torah,New Jersey,Ocean,36,83.3,,2.8,,40.0898862,-74.2117803
1856,Cheder Menachem,New Jersey,Middlesex,6,83.3,,16.7,,40.4333667,-74.5175335
1857,Discovery Corner Child Care and Enrichment Center,New Jersey,Camden,6,83.3,,,,39.9476086,-75.0241292
1858,"Highland Academy II, Inc",New Jersey,Atlantic,6,83.3,,16.7,,39.425026,-74.499367
1859,Hill and Dale - Manasquan,New Jersey,Monmouth,24,83.3,,16.7,,40.1258701,-74.0526405
1860,La Monte Annex,New Jersey,Somerset,96,83.3,,,,40.5630226,-74.5415221
1861,Monarch Montessori,New Jersey,Passaic,6,83.3,,16.7,,40.8873225,-74.2460768
1862,Montessori of East Rutherford,New Jersey,Bergen,6,83.3,,16.7,,40.8327986,-74.0981996
1863,NJ Institue of Disabilities-Lakeview,New Jersey,Middlesex,6,83.3,,16.7,,40.5526504,-74.3429163
1864,Saint Andrew the Apostle,New Jersey,Passaic,12,83.3,,16.7,,40.8555811,-74.1623215
1865,Saint Anne,New Jersey,Bergen,6,83.3,,16.7,,40.922179,-74.119388
1866,Scholars and Leaders Academy,New Jersey,Passaic,6,83.3,,,,40.8889202,-74.150609
1867,The Presbyterian Church Preschool and Kindergarten,New Jersey,Union,12,83.3,,16.7,,40.6927817,-74.2734658
1868,The Red Oaks,New Jersey,Morris,12,83.3,,16.7,,40.807751,-74.4838966
1869,Trinity Christian,New Jersey,Morris,12,83.3,,16.7,,40.8914683,-74.3651556
1870,Valley Program at Immaculate Conception,New Jersey,Bergen,12,83.3,,16.7,,40.984814,-73.980847
1871,Weymouth Township,New Jersey,Atlantic,12,83.3,,,,39.4186567,-74.7746684
1872,Yeshiva Bais Hatorah,New Jersey,Ocean,47,83,,10.6,,40.0800997,-74.1760157
1873,Holy Cross,New Jersey,Monmouth,29,82.8,,,,40.3657091,-73.9808395
1874,Colin Powell Elementary,New Jersey,Hudson,138,82.6,,,,40.7615218,-74.0345737
1875,Bishop McHugh Regional Catholic,New Jersey,Cape May,17,82.4,,11.8,,39.1638597,-74.7534395
1876,Calvary Christian,New Jersey,Middlesex,17,82.4,,11.8,,40.407189,-74.319248
1877,Playhouse Inc,New Jersey,Essex,17,82.4,,17.6,,40.8365799,-74.2079657
1878,Woodland Country Day,New Jersey,Cumberland,17,82.4,,17.6,,39.4676888,-75.3510229
1879,YeshivatÂ NetivotÂ Montessori,New Jersey,Middlesex,17,82.4,,17.6,,40.453341,-74.5130728
1880,George J. Mitchell Elementary,New Jersey,Ocean,72,81.9,,6.9,,39.6198348,-74.3427132
1881,Saint Ann,New Jersey,Somerset,11,81.8,18.2,,,40.569397,-74.635554
1882,West Cape May Elementary,New Jersey,Cape May,11,81.8,,18.2,,38.9443672,-74.9354909
1883,Yeshiva Yesodei Hatorah,New Jersey,Ocean,11,81.8,,18.2,,40.0660388,-74.2016813
1884,Acorn Montessori,New Jersey,Hunterdon,16,81.2,,18.8,,40.6011862,-74.8736463
1885,Franklin Township,New Jersey,Hunterdon,16,81.2,,18.8,,40.5666663,-74.9470482
1886,Holy Spirit,New Jersey,Union,16,81.2,6.2,6.2,,40.9531764,-74.292479
1887,Saint James the Apostle,New Jersey,Union,16,81.2,,6.2,,40.7027632,-74.3178761
1888,Apple Montessori - Montville,New Jersey,Morris,21,81,,14.3,,40.9241688,-74.3443821
1889,Stone Harbor Elementary,New Jersey,Cape May,21,81,,14.3,,39.0559551,-74.7585732
1890,Academy of Our Lady,New Jersey,Bergen,20,80,,20,,40.9559325,-74.1312625
1891,Bais Sarah,New Jersey,Ocean,5,80,,,,40.0709921,-74.2170887
1892,Chabad Early Early Learning Center,New Jersey,Morris,10,80,,20,,40.9205759,-74.510828
1893,Cornerstone Montessori,New Jersey,Gloucester,5,80,,20,,39.8146285,-75.1037733
1894,Hillel Yeshiva,New Jersey,Monmouth,55,80,,20,,40.2513552,-74.0535566
1895,HollyDELL,New Jersey,Gloucester,5,80,,20,,39.7463972,-75.1080576
1896,Madison Montessori,New Jersey,Morris,10,80,,20,,40.7573425,-74.4174804
1897,Millstone Montessori Family LLC,New Jersey,Monmouth,5,80,,20,,40.2522643,-74.4360618
1898,Montessori Enrichment Center,New Jersey,Monmouth,5,80,,20,,40.1489292,-74.2178657
1899,Our Lady of Guadalupe Academy,New Jersey,Union,10,80,,,,40.6583687,-74.2061472
1900,Saint Catherine of Bologna,New Jersey,Passaic,10,80,,10,,41.0918002,-74.2660308
1901,Seashore,New Jersey,Monmouth,5,80,,20,,40.3022529,-73.9948553
1902,Secret Garden Montessori,New Jersey,Hunterdon,5,80,,20,,40.5363857,-75.0628221
1903,Temple Emanu-El's Early Childhood Education Program,New Jersey,Union,10,80,,,,40.6605285,-74.3375771
1904,The Children's Therapy Center,New Jersey,Bergen,5,80,,20,,40.928197,-73.9613229
1905,The Goddard - West Windsor - Windsor-Edinburg Rd,New Jersey,Mercer,5,80,,20,,40.255818,-74.613302
1906,The Green Twig,New Jersey,Bergen,5,80,,,,40.985678,-74.140842
1907,The Purple Crayon Enrichment Center,New Jersey,Atlantic,5,80,,,,39.3610423,-74.5803397
1908,Lalor Elementary,New Jersey,Mercer,43,79.1,,2.3,,40.1960842,-74.740913
1909,7th Avenue,New Jersey,Camden,19,79,10.5,5.3,,39.878194,-75.0567958
1910,Winfield Township,New Jersey,Union,14,78.6,,,,40.6350167,-74.2870701
1911,Union City Day Care,New Jersey,Hudson,32,78.1,,3.1,,40.7795002,-74.0193672
1912,Giggle and Grow Preschool and Learning Center,New Jersey,Passaic,9,77.8,,22.2,,40.9145331,-74.2588362
1913,The Brookside,New Jersey,Monmouth,9,77.8,,22.2,,40.141481,-74.061648
1914,Visitation Academy,New Jersey,Bergen,18,77.8,,16.7,,40.9344132,-74.0622174
1915,Mustard Seed,New Jersey,Hudson,30,76.7,3.3,16.7,,40.7427742,-74.033531
1916,A Child's Place,New Jersey,Burlington,17,76.5,,23.5,,40.345111,-74.130848
1917,Nicholas Murray Butler 23,New Jersey,Union,106,76.4,,2.8,,40.6784823,-74.2169832
1918,Yeshiva Shaarei Tzion Girls Division,New Jersey,Middlesex,21,76.2,,9.5,,40.5272314,-74.4888074
1919,Talmud Torah Zecher Yochanan,New Jersey,Ocean,50,76,,10,,40.0783861,-74.2376281
1920,Lincoln Elementary - Newark,New Jersey,Essex,29,75.9,,,,40.7255604,-74.1793171
1921,Cumberland Christian,New Jersey,Cumberland,16,75,,25,,39.4480425,-75.0490852
1922,English Creek Academy,New Jersey,Atlantic,24,75,,,,39.432499,-74.614374
1923,Bais Yaakov Ohel Esther,New Jersey,Ocean,23,73.9,,8.7,,40.080202,-74.235088
1924,The Goddard - Tinton Falls,New Jersey,Monmouth,15,73.3,,6.7,,40.3287502,-74.0773156
1925,Academy of Saint James of the Marches,New Jersey,Passaic,11,72.7,,,,40.9052458,-74.212215
1926,The Wilberforce,New Jersey,Mercer,11,72.7,,27.3,,40.358835,-74.6214267
1927,Yeshiva Ohr Hachaim,New Jersey,Ocean,22,72.7,,27.3,,40.058963,-74.2096588
1928,Bas Yisroel,New Jersey,Ocean,18,72.2,,11.1,,40.0981832,-74.2229872
1929,Peter Cooper,New Jersey,Passaic,53,71.7,1.9,13.2,,41.0673599,-74.266329
1930,Hoboken Montessori,New Jersey,Hudson,7,71.4,,14.3,,40.7536994,-74.0274327
1931,Monmouth Montesorri,New Jersey,Monmouth,14,71.4,,21.4,,40.162138,-74.033428
1932,North Hudson Academy,New Jersey,Hudson,7,71.4,14.3,,,40.7842186,-74.0321766
1933,Our Lady of Mount Carmel,New Jersey,Morris,7,71.4,,28.6,,40.2224886,-74.0213375
1934,Tadpole Village Preschool,New Jersey,Monmouth,7,71.4,,28.6,,40.1756086,-74.4542209
1935,YingHua International,New Jersey,Somerset,14,71.4,,,,40.3775571,-74.6140825
1936,Talmud Torah Toldos Yakov Yosef,New Jersey,Ocean,24,70.8,,20.8,,40.106889,-74.224542
1937,Machzikei Hadas,New Jersey,Ocean,44,70.4,4.6,25,,40.873109,-74.016668
1938,American Christian,New Jersey,Morris,20,70,,30,,40.857773,-74.6597649
1939,Apple Montessori - Oakland,New Jersey,Bergen,10,70,,30,,41.0155959,-74.2508999
1940,Calvary Academy,New Jersey,Ocean,10,70,,30,,40.1047143,-74.1758771
1941,Summer Hill Preschool,New Jersey,Monmouth,10,70,,10,,40.198958,-74.079307
1942,Montclair Cooperative,New Jersey,Essex,16,68.8,,18.8,,40.8208362,-74.2104503
1943,Shrewsbury Borough,New Jersey,Monmouth,43,67.4,,7,,40.3245731,-74.0593872
1944,Academy360 Lower,New Jersey,Essex,6,66.7,,33.3,,40.82349,-74.228812
1945,Bnot Yisroel,New Jersey,Ocean,21,66.7,,33.3,,40.0739825,-74.2232888
1946,Edith Ort Thomas Elementary,New Jersey,Hunterdon,9,66.7,,33.3,,40.534209,-75.0620273
1947,Good Shepherd Chritian Academy/Good Shepherd Preschool - Washington,New Jersey,Warren,6,66.7,,33.3,,40.7462437,-75.0214558
1948,Harbor Baptist Academy,New Jersey,Burlington,6,66.7,,33.3,,40.080136,-74.8559673
1949,Lubavitch on the Palisades,New Jersey,Bergen,24,66.7,,33.3,,40.9292655,-73.9628919
1950,Montessori Seeds of Education,New Jersey,Camden,6,66.7,,33.3,,39.9544739,-75.0492843
1951,Netherlands Reformed Christian,New Jersey,Morris,18,66.7,,27.8,,40.9534026,-74.3121549
1952,Our Lady Help Of Christians,New Jersey,Essex,21,66.7,,,,40.765252,-74.2141066
1953,Ridge and Valley Charter,New Jersey,Warren,15,66.7,,33.3,,40.9758874,-74.9360389
1954,Yeshivat Keter Torah,New Jersey,Monmouth,14,64.3,7.1,28.6,,40.2796403,-74.0508664
1955,Trinity Preparatory,New Jersey,Camden,11,63.6,,,,39.821529,-75.0071249
1956,Northwest Christian,New Jersey,Sussex,8,62.5,,37.5,,41.0939641,-74.748644
1957,Erial Community Church Christian,New Jersey,Camden,21,61.9,,4.8,,39.7678719,-75.00282
1958,Margaret P. Muscarelle Child Development Center,New Jersey,Bergen,13,61.5,7.7,30.8,,40.8822743,-74.1044043
1959,Ambassador Christian Academy,New Jersey,Ocean,10,60,,7.7,,39.9591411,-74.2001327
1960,Children of America,New Jersey,Middlesex,10,60,,,,40.430606,-74.39158
1961,Children's Choice,New Jersey,Middlesex,10,60,,40,,40.4498805,-74.4013385
1962,I AM's Temple Christian Academy,New Jersey,Union,20,60,,10,,40.624435,-74.401716
1963,New Beginnings,New Jersey,Essex,5,60,,40,,40.8725474,-74.2908898
1964,Saint Nicholas Ukrainian Catholic,New Jersey,Passaic,10,60,,40,,40.8711995,-74.1272613
1965,The Center for Education,New Jersey,Ocean,5,60,,,,40.0969383,-74.1381971
1966,Yeshiva at the Jersey Shore,New Jersey,Monmouth,5,60,,20,,40.2513261,-74.0536235
1967,Lightbridge Academy - Rutherford,New Jersey,Bergen,14,57.1,,42.9,,40.8171515,-74.1015139
1968,The Cottage,New Jersey,Somerset,7,57.1,,42.9,,40.7195513,-74.6641292
1969,Vincent S. Mastro Montessori Academy,New Jersey,Monmouth,16,56.2,,18.8,,40.336433,-74.061918
1970,Cheder Lubavitch,New Jersey,Morris,18,55.6,,44.4,,40.8059486,-74.4987214
1971,The Waldorf of Princeton,New Jersey,Somerset,18,55.6,5.6,38.9,,40.40214,-74.682698
1972,Dale Avenue/School 41,New Jersey,Passaic,225,52.9,,,,40.9139636,-74.1686564
1973,Espin Preschool Learning Center,New Jersey,Union,8,50,12.5,12.5,,40.6990231,-74.268988
1974,New Friends Child Care,New Jersey,Middlesex,10,50,,,,40.5006198,-74.4011172
1975,The Learning Experience,New Jersey,Warren,8,50,,12.5,,40.6455465,-74.4746276
1976,Westminster Nature Preschool,New Jersey,Monmouth,9,44.4,,55.6,,40.4051339,-74.102169
1977,Marlboro Prepatory Academy,New Jersey,Monmouth,13,38.5,,61.5,,40.3603062,-74.2895571
1978,Waldwick SDA,New Jersey,Bergen,9,33.3,,66.7,,41.0082569,-74.1256927
1979,Deane Porter Elementary,New Jersey,Monmouth,86,27.9,,1.2,,40.3708483,-74.0046207
1980,Birches Elementary,New Jersey,Gloucester,5,20,,80,,39.7436638,-75.0522029
1981,Precious People Early Learning Center,New Jersey,Union,12,8.3,,8.3,,40.7037819,-74.220795
1982,Loring Flemming Elementary,New Jersey,Camden,99,2,,,,39.8237198,-75.0549459
1983,Ability,New Jersey,Bergen,,,,,,40.9006561,-73.980692
1984,Adventure Land,New Jersey,Bergen,,,,,,40.8930471,-74.0546154
1985,Alan E. Zimmer Educational Center,New Jersey,Somerset,,,,,,40.5292099,-74.6400432
1986,Allegro,New Jersey,Morris,,,,,,40.8188556,-74.45023
1987,Alpine Learning Group,New Jersey,Bergen,,,,,,40.9792467,-74.0896132
1988,Alpine Montessori,New Jersey,Sussex,,,,,,41.0397929,-74.6319671
1989,American Montessori,New Jersey,Somerset,,,,,,40.5463769,-74.6130624
1990,Amerigo A. Anastasia,New Jersey,Monmouth,,,,,,40.3057845,-73.9978395
1991,Apple Montessori - Cliffside Park,New Jersey,Bergen,,,,,,40.8238715,-73.9873646
1992,Apple Montessori - Parsippany-Troy Hills,New Jersey,Morris,,,,,,40.8538356,-74.4537424
1993,Apple Montessori - Sinatra Dr,New Jersey,Hudson,,,,,,40.7387984,-74.0274462
1994,Assumption Academy,New Jersey,Bergen,,,,,,40.9761047,-74.0240449
1995,Ateres Bais Yaakov,New Jersey,Ocean,,,,,,40.080202,-74.235088
1996,Bamboo Shoots,New Jersey,Union,,,,,,40.665942,-74.35079
1997,Bancroft at VPF,New Jersey,Camden,,,,,,39.8506449,-74.9697497
1998,Bankbridge Development Center,New Jersey,Gloucester,,,,,,39.778483,-75.1266799
1999,Bergen Early Learning Alliance Program,New Jersey,Bergen,,,,,,40.9262762,-74.07701
2000,Bergen-Lafayette Montessori,New Jersey,Hudson,,,,,,40.710692,-74.061359
2001,Berkeley Child Care,New Jersey,Ocean,,,,,,39.9069007,-74.155073
2002,Beth Chaim PreSchool,New Jersey,Mercer,,,,,,40.2744668,-74.6010625
2003,Bethany Baptist Christian,New Jersey,Gloucester,,,,,,39.8063288,-75.0835725
2004,Big Smiles Learning and Care,New Jersey,Essex,,,,,,40.8021375,-74.1537003
2005,Brayton Elementary,New Jersey,Union,,,,,,40.7088976,-74.3641361
2006,Bridgeton Christian,New Jersey,Cumberland,,,,,,39.4303066,-75.2494101
2007,Bright Horizons at Cranbury,New Jersey,Middlesex,,,,,,40.3410072,-74.5019361
2008,Bright Horizons at Lopatcong,New Jersey,Warren,,,,,,40.7009253,-75.1447491
2009,Brownstone c/o St. Philip the Apostle,New Jersey,Bergen,,,,,,40.907841,-74.0911014
2010,Bruce Street,New Jersey,Essex,,,,,,40.712294,-74.2159408
