index,state,year,name,type,city,enroll,mmr,lat,lng
292,Pennsylvania,2017,Pittsburgh Carmalt K-8,,Pittsburgh,64,100,40.3875693,-80.0070461
293,Pennsylvania,2017,Pittsburgh Greenfield K-8,,Pittsburgh,54,100,40.426433,-79.9445126
294,Pennsylvania,2017,Pittsburgh King K-8,,Pittsburgh,72,100,40.4546608,-80.0047559
295,Pennsylvania,2017,Pittsburgh Langley K-8,,Pittsburgh,66,100,40.454376,-80.0551958
296,Pennsylvania,2017,Pittsburgh Liberty K-5,,Pittsburgh,76,100,40.453225,-79.9334516
297,Pennsylvania,2017,Pittsburgh Manchester K-8,,Pittsburgh,23,100,40.4564013,-80.0265946
298,Pennsylvania,2017,Pittsburgh Mifflin K-8,,Pittsburgh,25,100,40.3698549,-79.9148975
299,Pennsylvania,2017,Pittsburgh Minadeo K-5,,Pittsburgh,35,100,40.4235452,-79.9252809
300,Pennsylvania,2017,Pittsburgh Morrow K-8,,Pittsburgh,79,100,40.4800696,-80.0396952
301,Pennsylvania,2017,Pittsburgh West Liberty K-5,,Pittsburgh,37,100,40.4030849,-80.0099781
302,Pennsylvania,2017,Pittsburgh Westwood K-8,,Pittsburgh,61,100,40.43196,-80.0510595
303,Pennsylvania,2017,Pittsburgh Woolslair K-5,,Pittsburgh,31,100,40.4631909,-79.9571285
304,Pennsylvania,2017,Pope John Paul Ii Regional Catholic Elementary,,West Brandywine,54,100,40.0416968,-75.8117922
305,Pennsylvania,2017,Port Allegany Elementary,,Port Allegany,55,100,41.8149802,-78.2672834
306,Pennsylvania,2017,Port Matilda Elementary,,Port Matilda,23,100,40.799987,-78.0506743
307,Pennsylvania,2017,Powel Samuelementary,,Philadelphia,53,100,39.9603393,-75.1936401
308,Pennsylvania,2017,Priestley,,Northumberland,60,100,40.9026414,-76.8114236
309,Pennsylvania,2017,Primos Elementary,,Primos,78,100,39.9226395,-75.3024705
310,Pennsylvania,2017,Propel Cs-Northside,,Pittsburgh,47,100,40.4600048,-80.0180606
311,Pennsylvania,2017,Radio Park Elementary,,State College,64,100,40.7991892,-77.884345
312,Pennsylvania,2017,Radnor Elementary,,Radnor,89,100,40.0473595,-75.3612653
313,Pennsylvania,2017,Rayne Elementary,,Home,31,100,40.704432,-79.102528
314,Pennsylvania,2017,Red Mill Elementary,,Etters,95,100,40.1531075,-76.7948108
315,Pennsylvania,2017,Regency Park Elementary,,Plum,24,100,40.4795787,-79.7075816
316,Pennsylvania,2017,Reserve Primary,,Pittsburgh,46,100,40.4755681,-79.9810616
317,Pennsylvania,2017,Richard J. Hyde Elementary,,Moon Township,49,100,40.5235873,-80.1971455
318,Pennsylvania,2017,Richmond Elementary,,Fleetwood,20,100,40.4867421,-75.8336198
319,Pennsylvania,2017,Ridge Park Elementary,,Conshohocken,112,100,40.0975648,-75.2898418
320,Pennsylvania,2017,Ritter Elementary,,Allentown,205,100,40.6213052,-75.4323037
321,Pennsylvania,2017,Riverside Elementary School West,,Taylor,124,100,41.380571,-75.717642
322,Pennsylvania,2017,Robert Benjamin Wiley Community Cs,,Erie,47,100,42.1416313,-80.0534553
323,Pennsylvania,2017,Rockhill Elementary,,Rockhill Furnace,22,100,40.2408305,-77.8971503
324,Pennsylvania,2017,Rogers Primary,,Allison Park,51,100,40.5384991,-79.985013
325,Pennsylvania,2017,Rolling Ridge Elementary,,Erie,55,100,42.1401655,-79.9971192
326,Pennsylvania,2017,Sacred Heart,,Havertown,28,100,39.9722435,-75.3118961
327,Pennsylvania,2017,Saint James Regional Catholic,,Ridley Park,45,100,39.8827843,-75.3270249
328,Pennsylvania,2017,Saint Jude,,Erie,34,100,42.1063612,-80.1451138
329,Pennsylvania,2017,Saint Maria Goretti,,Pittsburgh,21,100,40.4615352,-79.9479455
330,Pennsylvania,2017,Salisbury Elementary,,Gap,37,100,40.0183143,-76.0046451
331,Pennsylvania,2017,Salladasburg Elementary,,Jersey Shore,39,100,41.2682501,-77.2311978
332,Pennsylvania,2017,Samuel K Faust Elementary,,Bensalem,75,100,40.1198267,-74.9636585
333,Pennsylvania,2017,Samuel Pennypacker,,Philadelphia,36,100,40.0653701,-75.1589288
334,Pennsylvania,2017,Saucon Valley Elementary,,Hellertown,125,100,40.5716576,-75.3311972
335,Pennsylvania,2017,Schoolaeffer,,Lancaster,52,100,40.0595751,-76.2905546
336,Pennsylvania,2017,Schoolnecksville,,Schnecksville,77,100,40.6682953,-75.6046687
337,Pennsylvania,2017,Second District Elementary,,Meadville,64,100,41.6300086,-80.1539526
338,Pennsylvania,2017,Sewickley Academy,,Sewickley,25,100,40.544741,-80.189606
