index,state,year,name,county,enroll,mmr,overall,xmed,xper,xrel,lat,lng
1198,Minnesota,2017-18,Meadowview,Dakota,,,,,,,44.6655812,-93.1903229
1199,Minnesota,2017-18,Meeker And Wright Special Education,Wright,,,,,,,45.0589047,-94.0717978
1200,Minnesota,2017-18,Metro Deaf,Ramsey,,,,,,,44.975102,-93.162188
1201,Minnesota,2017-18,Mille Lacs Academy - Nexus,Mille Lacs,,,,,,,46.06717,-93.68688
1202,Minnesota,2017-18,Milroy Area Charter,Redwood,,,,,,,44.415535,-95.555502
1203,Minnesota,2017-18,Milroy Jr.,Redwood,,,,,,,44.4159154,-95.5556508
1204,Minnesota,2017-18,Minisinaakwaang Leadership Academy,Aitkin,,,,,,,46.544455,-93.282284
1205,Minnesota,2017-18,Mn Academy For The Blind,Rice,,,,,,,44.285978,-93.259141
1206,Minnesota,2017-18,Montessori Renaissance Academy,Anoka,,,,,,,45.189481,-93.383646
1207,Minnesota,2017-18,Montessori,Benton,,,,,,,45.611417,-94.176672
1208,Minnesota,2017-18,Morrison County Learning Center,Morrison,,,,,,,45.980757,-94.351417
1209,Minnesota,2017-18,Mps Metro C,Hennepin,,,,,,,44.969304,-93.281535
1210,Minnesota,2017-18,Mps Metro Ha,Hennepin,,,,,,,44.99379,-93.256591
1211,Minnesota,2017-18,Mps Sj,Hennepin,,,,,,,44.94773,-93.2429646
1212,Minnesota,2017-18,Myers-Wilkins Elementary,St. Louis,,,,,,,46.79232,-92.102538
1213,Minnesota,2017-18,Nett Lake Elementary,St. Louis,,,,,,,48.109661,-93.095592
1214,Minnesota,2017-18,Neuhof,Cottonwood,,,,,,,43.8962315,-94.9397176
1215,Minnesota,2017-18,Nicollet Jr.,Dakota,,,,,,,44.7626965,-93.2726657
1216,Minnesota,2017-18,Ordean-East,St. Louis,,,,,,,46.817314,-92.064639
1217,Minnesota,2017-18,Oshki Ogimaag Charter,Cook,,,,,,,47.967951,-89.680389
1218,Minnesota,2017-18,Otter Lake Elementary,Ramsey,,,,,,,45.105961,-93.039519
